HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Qui sitit accípiet aquam vitæ gratis, allelúia.;Que celui qui a soif prenne de l'eau de la vie gratuitement, alléluia.;Ap XXII 17
ant2;Adoráte Dóminum, qui fecit cælum et terram, mare et fontes aquárum, allelúia.;Adorez le Seigneur, qui a fait le ciel et la terre, la mer et les sources des eaux, alléluia.;
ant3;Exsultábunt sancti in glória, allelúia.;Les fidèles triomphent dans la gloire, alléluia.;Ps CXLIX 5
LB_matin;LB_ap10.40-43;;
RB_matin;"R/. Christe, Fili Dei vivi, miserére nobis,* Allelúia, allelúia. Christe. 
V/. Qui surrexísti a mórtuis. *Allelúia, allelúia. Glória Patri. Christe.";"R/. O Christ, Fils du Dieu vivant, aie pitié de nous,* Alléluia, alléluia. O Christ. 
V/. Toi qui est ressucité des morts. *Alléluia, alléluia. Gloire au Père. O Christ.";
benedictus;<i>Antiphona propria.</i>;<i>Antienne propre</i>;
oratio_laudes;<i>Oratio propria</i>;<i>Oraison propre</i>;
preces_matin;preces_II;;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_1 Cor 15, 3b-5;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;;;
LB_6;LB_Eph 2, 4-6;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, alléluia. 
R/. En voyant le  Seigneur, alléluia.";Jn XX 20
oratio_6;;;
LB_9;LB_Rom 6, 4;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, allelúia. 
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;;;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Surréxit Dóminus et sedet ad déxteram Dei, allelúia.;Le Seigneur est ressucité et il siège à la droite de Dieu, alléluia.;
ant8;Erípuit nos de potestáte tenebrárum et tránstulit in regnum Fílii sui, allelúia.;Nous délivrant de la puissance des ténèbres, pour nous transporter dans le royaume de son Fils, alléluia.;Col I 13
ant9;Allelúia, salus et glória et virtus Deo nostro, allelúia.;Alléluia! Le salut, la gloire et la force à notre Dieu, alléluia.;Ap XIX 1
LB_soir;LB_Hebr 10, 12-14;;
RB_soir;"R/. Surréxit Dóminus vere, * Allelúia, allelúia. Surréxit. 
V/. Et appáruit Simóni. * Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur est vraiment ressucité, * Alléluia, alléluia. Le Seigneur. 
V/. Et il est apparu à Simon. * Alléluia, alléluia. Gloire au Père. Le Seigneur.";
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>;
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>;
preces_soir;preces_III
