HYMNUS_laudes;hy_Optátus votis ómnium;;
ant1;Cantábimus sicut choros ducéntes: omnes fontes mei sunt in te, cívitas Dei, allelúia.;"Nous chanterons comme les chœurs qui proclament :  ""Toutes mes sources sont en toi, alléluia.";Ps LXXXVII 7
ant2;Sicut pastor, congregábit agnos et in sinu suo levábit, allelúia.;Comme un berger, il recueillera les agneaux dans ses bras, et les portera dans son sein, alléluia.;Is XL 11
ant3;Dóminus in Sion magnus, et excélsus super omnes pópulos, allelúia.;Le Seigneur est grand dans Sion, il est élevé au dessus de tous les peuples, alléluia.;Ps XCIX 2
LB_matin;LB_Rom 8, 10-11;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Eúntes in mundum, docéte omnes gentes, baptizántes eos in nómine Patris et Fílii et Spíritus Sancti, allelúia.;Allez par tout le monde, enseignez tous les peuples, baptisez-les au nom du Père et du Fils et du Saint-Esprit, alléluia.;
preces_matin;preces_XV;;
oratio_laudes;Spíritus tuus, quæsumus, Dómine, spiritália nobis dona poténter infúndat, ut det nobis mentem, quæ tibi sit plácita, et aptet nos tuæ propítius voluntáti. Per Dóminum.;Que ton Esprit, nous t’en supplions, Seigneur, répande en nous avec force ses dons spirituels, pour qu’il nous donne un esprit qui te soit agréable, et nous conforme, dans sa faveur, à ta volonté.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_1 Cor 12, 13;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia.
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Spíritus tuus, quæsumus, Dómine, spiritália nobis dona poténter infúndat, ut det nobis mentem, quæ tibi sit plácita, et aptet nos tuæ propítius voluntáti. Per Dóminum.;Que ton Esprit, nous t’en supplions, Seigneur, répande en nous avec force ses dons spirituels, pour qu’il nous donne un esprit qui te soit agréable, et nous conforme, dans sa faveur, à ta volonté.;
LB_6;LB_Tit 3, 5b-7;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, alléluia.
R/. En voyant le  Seigneur, alléluia.";Jean XX 20
oratio_6;Spíritus tuus, quæsumus, Dómine, spiritália nobis dona poténter infúndat, ut det nobis mentem, quæ tibi sit plácita, et aptet nos tuæ propítius voluntáti. Per Dóminum.;Que ton Esprit, nous t’en supplions, Seigneur, répande en nous avec force ses dons spirituels, pour qu’il nous donne un esprit qui te soit agréable, et nous conforme, dans sa faveur, à ta volonté.;
LB_9;LB_Col 1, 12-14;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia.
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Spíritus tuus, quæsumus, Dómine, spiritália nobis dona poténter infúndat, ut det nobis mentem, quæ tibi sit plácita, et aptet nos tuæ propítius voluntáti. Per Dóminum.;Que ton Esprit, nous t’en supplions, Seigneur, répande en nous avec force ses dons spirituels, pour qu’il nous donne un esprit qui te soit agréable, et nous conforme, dans sa faveur, à ta volonté.;
HYMNUS_vesperas;hy_Veni, creátor Spíritus,;;
ant7;Dedit illi Dóminus Deus sedem David patris eius, allelúia.;"Le Seigneur Dieu lui donnera le trône de David son père; alléluia.";Luc I 32
ant8;Iesus Christus solus potens, rex regum et Dóminus dominántium, allelúia.;Jésus-Christ est l'unique Souverain, le Roi de ceux qui exercent la seigneurie, alléluia.;1Ti VI 15
ant9;Quis símilis tui in fórtibus, Dómine? quis símilis tui, magníficus in sanctitáte? allelúia.;Qui est vaillant comme toi  Seigneur ? Qui est comme toi, auguste en sainteté ? alléluia.;Cf. Ez XXXII 27
LB_soir;LB_1 Petr 3, 18. 21b-22;;
RB_soir;"R/. Spíritus Paráclitus, * Allelúia, allelúia. Spíritus. 
V/. Docébit vos ómnia. * Allelúia, allelúia. Glória Patri. Spíritus.";"R/. L'Esprit Paraclet, * Allelúia, allelúia. L'Esprit.
V/. Vous enseignera toutes choses. * Allelúia, allelúia. Gloire au Père. L'Esprit.";
magnificat;Cum vénerit ille Spíritus veritátis, docébit vos omnem veritátem, et quæ ventúra sunt annuntiábit vobis, allelúia.;Quand le Consolateur, l'Esprit de vérité, sera venu, il vous guidera dans toute la vérité, et il vous annoncera les choses à venir, alléluia.;Jn XVI 13
oratio_vesperas;Spíritus tuus, quæsumus, Dómine, spiritália nobis dona poténter infúndat, ut det nobis mentem, quæ tibi sit plácita, et aptet nos tuæ propítius voluntáti. Per Dóminum.;Que ton Esprit, nous t’en supplions, Seigneur, répande en nous avec force ses dons spirituels, pour qu’il nous donne un esprit qui te soit agréable, et nous conforme, dans sa faveur, à ta volonté.;
preces_soir;preces_XVI
