HYMNUS_laudes;hy_Auróra iam spargit polum;
ant1;Prævenérunt óculi mei ad te dilúculo.;Mes yeux devancent les veilles de la nuit.
ant2;Fortitúdo mea et laus mea Dóminus, et factus est mihi in salútem.;Ma force et mon chant, c’est le Seigneur, il s’est fait pour moi le salut.
ant3;Laudáte Dóminum, omnes gentes.;Louez le Seigneur, tous les peuples.
LB_matin;LB_2 Petr 1, 10-11;
RB_matin;"R/. Clamávi ad te, Dómine; * Tu es refúgium meum. Clamávi. 
V/. Pórtio mea in terra vivéntium. * Tu es refúgium meum. Glória Patri. Clamávi.";"R/. J’ai crié vers toi, Seigneur. Tu es mon refuge.
V/. Ma part sur la terre des vivants. Tu es mon refuge. Glore au Père. J’ai crié."
benedictus;Illúmina, Dómine, sedéntes in ténebris et umbra mortis.;Illumine, Seigneur, ceux qui siègent dans les ténèbres et l’ombre de la mort.
preces_matin;preces_XIII;
oratio_laudes;Corda nostra, quæsumus, Dómine, resurrectiónis splendor illústret, quo mortis ténebris carére valeámus, et ad claritátem perveniámus ætérnam. Per Dóminum.;Que nos cœurs, nous te le demandons, Seigneur, la splendeur de la Résurrection les illumine, par laquelle nous pouvons être exempts des ténèbres de la mort et parvenir à la clarté éternelle.
HYMNUS_tertiam;hy_Nunc_Sancte_nobis_Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Deduc me, Dómine, in sémitam mandatórum tuórum.;Conduis-moi, Seigneur, sur les chemins de tes commandements.
ant5;Inquiréntes Dóminum non defícient omni bono.;Ceux qui recherchent le Seigneur ne sont pas privés de tout bien.
ant6;Inquíre pacem et perséquere eam.;Recherchez la paix et poursuivez-la.
LB_3;LB_1 Reg 8, 60-61;
RB_3;"V/. Deus meus, sémitas tuas édoce me. 
R/. Dírige me in veritáte tua.";"V/. Mon Dieu, conduis-moi sur tes chemins.
R/. Dirige-moi vers ta vérité."
oratio_3;Dómine Deus, Pater omnípotens, nobis maiestáti tuæ subiéctis Sancti Spíritus lumen infúnde, ut ab omni hoste secúri, in tua iúgiter laude lætémur. Per Christum.;"Seigneur Dieu, Père tout-puissant, remplis-nous,  les serviteurs de ta majesté, de la lumière de l'Esprit Saint; pour que, sans rien craindre de tout adversaire, nous mettions notre joie à te louer continuellement. Par Jésus, le Christ, notre Seigneur. Amen."
LB_6;LB_Ier 17, 9-10;
RB_6;"V/. Ab occúltis meis munda me, Dómine. 
R/. Et a supérbia custódi servum tuum.";"V/. Purifie-moi de mes fautes, Seigneur.
R/. Et garde de l’orgueil ton serviteur."
oratio_6;Concéde nobis, Dómine, lux ardens caritátis ætérnæ, ut tua semper caritáte fervéntes, te super ómnia et fratres propter te uno diligámus amóre. Per Christum.;Seigneur, foyer brûlant de charité, accorde-nous une telle ferveur que nous soyons capables de t'aimer plus que tout et d'aimer nos frères à cause de toi. Par Jésus, le Christ, notre Seigneur. Amen.
LB_9;"LB_Sap 7, 27a; 8, 1";
RB_9;"V/. Quam magnificáta sunt ópera tua, Dómine. 
R/. Nimis profúndæ factæ sunt cogitatiónes tuæ.";"V/. Que tes œuvres sont magnifiques, Seigneur.
R/. Et que sont profondes tes pensées."
oratio_9;Exáudi nos, Dómine, et præsta pacem, quam pétimus, consummátam, ut cunctis diébus vitæ nostræ tibi cum iucunditáte vacántes, beáta María Vírgine intercedénte, ad te secúri perveníre mereámur. Per Christum.;Exauce-nous, Seigneur, donne-nous la paix, que nous demandons, .... pour que passant tous les jours de notre vie avec agrément, par l’intercession de la bienheureuse Vierge Marie, nous méritions de parvenir jusqu’à toi dans la paix.
HYMNUS_vesperas;hy_Rerum, Deus, fons ómnium;
ant7;Lucérna pédibus meis verbum tuum, Dómine, allelúia.;Ta parole est la lumière de mes pas, Seigneur, alléluia.
ant8;Adimplébis me lætítia cum vultu tuo, Dómine, allelúia.;Il y a plénitude de joie devant ta face, alléluia.
ant9;In nómine Iesu omne genu flectátur in cælo et in terra, allelúia.;Qu’au nom de Jésus tout genou fléchisse au ciel et sur la terre, alléluia.
LB_soir;LB_Col 1, 2b-6a;
RB_soir;"R/. A solis ortu usque ad occásum, * Laudábile nomen Dómini. A solis.
V/. Super cælos glória eius. * Laudábile nomen Dómini. Glória Patri. A solis.";"R/. Du levant au couchant du soleil, que soit loué le nom du Seigneur.
V/. Sa gloire est dans les cieux. Que soit loué. Gloire au Père. "
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>
preces_soir;preces_I
