HYMNUS_laudes;hy_Nox et tenébræ et núbila;
ant1;Lætífica ánimam servi tui: ad te, Dómine, ánimam meam levávi.;Réjouis l’âme de ton serviteur : vers toi, Seigneur, j’élève mon âme.
ant2;Beátus vir qui ámbulat in iustítia et lóquitur veritátem.;Heureux l‘homme qui marche dans la justice et profère la vérité.
ant3;Iubiláte in conspéctu regis Dómini.;Jubilez en présence du roi, le Seigneur.
LB_matin;"LB_Iob 1, 21; 2, 10b";
RB_matin;"R/. Inclína cor meum, Deus * In testimónia tua. Inclína.
V/. In via tua vivífica me. * In testimónia tua. Glória Patri. Inclína.";"R/. Incline, mon cœur, Dieu, vers ton testament.
V/. Dans ta voie, vivifie moi. Vers ton testament. Gloire au Père. Dans l’éternité."
benedictus;Fac nobíscum misericórdiam, Dómine, et memoráre testaménti tui sancti.;Fais nous miséricorde, Seigneur, et souviens-toi de ton testament.
preces_matin;preces_XIII;
oratio_laudes;Exáudi nos, Deus, salutáris noster, et nos pérfice sectatóres lucis et operários veritátis, ut qui ex te nati sumus lucis fílii, tui testes coram homínibus esse valeámus. Per Dóminum.;"Exauce-nous, Dieu, notre salut, transforme-nous en disciples de lumière et en artisans de vérité; pour que, nous qui, nés de toi, nous sommes des fils de lumière, soyons capables d’être tes témoins devant les hommes. Par Jésus Christ, ton Fils, notre Seigneur et notre Dieu, qui règne avec toi et le Saint-Esprit, maintenant et pour les siècles des siècles. Amen."
HYMNUS_tertiam;hy_Nunc_Sancte_nobis_Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Qui séquitur me non ámbulat in ténebris, sed habébit lumen vitæ, dicit Dóminus.;Celui qui me suit ne marche pas dans les ténèbres, mais il détient la lumière de la vie, dit le Seigneur.
ant5;Ego egénus et pauper sum: Deus, ádiuva me.;Je suis pauvre et privé de tout : Dieu, aide-moi.
ant6;Non secúndum visiónem oculórum iudicábit Deus, sed in iustítia et æquitáte.;Ce n’est pas à l’œil nu que juge Dieu, mais dans la justice et l’équité.
LB_3;LB_1 Cor 13, 4-7;
RB_3;"V/. Exsúltent et læténtur in te omnes qui quærunt te, Dómine.
R/. Et dicant semper: Magnificétur Deus.";"V/. Tous ceux qui te cherchent Seigneur, exultent et se réjouissent en toi.
R/. Ils ils disent sans cesse : que Dieu soit magnifié."
oratio_3;Dómine, Pater sancte, Deus fidélis, qui promíssum Spíritum misísti, ut hómines per peccátum dispérsos congregáres, fac nos in mundo unitátis pacísque múnera confovére. Per Christum.;Seigneur, Père saint, Dieu fidèle, qui as envoyé le Saint-Esprit promis, pour que tu rassembles les hommes divisés par le péché, fais de nous les restaurateurs de la paix et de l’unité dans le monde. Par Jésus, le Christ notre Seigneur. Amen.
LB_6;LB_1 Cor 13, 8-9. 13;
RB_6;"V/. Fiat misericórdia tua, Dómine, super nos. 
R/. Quemádmodum sperávimus in te.";"V/. Que ta miséricorde, Seigneur, soit sur nous.
R/. Tout comme nous espérons en toi."
oratio_6;Omnípotens et miséricors Deus, qui nos die média respiráre concédis, quos cœpimus propítius intuére labóres, et, sanans quæ delíquimus, fac eos ad finem tibi plácitum perveníre. Per Christum.;"Dieu miséricordieux et tout puissant, qui au milieu du jour nous donne un temps de repos ; regarde avec faveur le travail que nous avons commencé, corrige ce que nous avons mal fait et fais-le aboutir à un résultat qui te plaise."
LB_9;LB_Col 3, 14-15;
RB_9;"V/. Mansuéti hereditábunt terram.
R/. Et delectabúntur in multitúdine pacis.";"V/. Les doux hériteront de la terre
R/. Et ils se délécteront d’une grande paix."
oratio_9;Dómine Iesu Christe, qui manus tuas in cruce ad salvándos hómines extendísti, concéde, ut actus nostri tibi reddántur accépti, et opus tuæ redemptiónis in mundo váleant declaráre. Qui vivis.;Seigneur Jésus Christ, toi qui étendis les bras sur la croix pour sauver les hommes, fais que nos actes soient susceptibles de teplaire et qu’ils puissent faire connaître au monde ton œuvre de rédemption. Toi qui vis et règnes pour les siècles des siècles. Amen.
HYMNUS_vesperas;hy_Cæli Deus sanctíssime;
ant7;Qui séminant in lácrimis, in exsultatióne metent.;Ceux qui sèment dans les larmes moissonnent dans l’exultation.
ant8;Dóminus ædíficet nobis domum, et custódiat civitátem.;Le Seigneur édifiera pour nous une demeure, et il gardera la cité.
ant9;Ipse primogénitus omnis creatúræ, in ómnibus primátum tenens.;Voici le premier né avant toute créature, à lui la primauté sur toutes choses.
LB_soir;LB_Eph 3, 20-21;
RB_soir;"R/. Rédime me, Dómine, * Et miserére mei. Rédime. 
V/. Ne perdas cum ímpiis ánimam meam. * Et miserére mei. Glória Patri. Rédime.";"R/. Sauve-moi, Seigneur, et prends pitié de moi.
V/. Que je ne perde pas mon âme avec les impies. Et prends pitié de moi. Gloire au Père. Sauve-moi."
magnificat;Fecit mihi magna qui potens est, et sanctum nomen eius.;Fecit mihi magna qui potens est, et sanctum nomen eius.
oratio_vesperas;Vox clamántis Ecclésiæ ad aures, Dómine, quæsumus, tuæ pietátis ascéndat, ut percépta vénia peccatórum, plebs tua te fiat operánte devóta, te protegénte secúra. Per Dóminum.;Écoute, Seigneur, la voix de ton Église en prière pardonne-lui, crée en elle un coeur pur: qu'elle soit généreuse a te servir et toujours plus sûre de toi.
preces_soir;preces_XIV
