HYMNUS_laudes;hy_Auróra iam spargit polum;
ant1;Prope es tu, Dómine, et omnes viæ tuæ véritas.;Tu es proche, Seigneur, et la vérité est en toutes tes voies.
ant2;Mecum sit, Dómine, sapiéntia tua et mecum labóret.;Seigneur, que la sagesse soit avec moi et qu’elle travaille avec moi.
ant3;Véritas Dómini manet in ætérnum.;La vérité du Seigneur demeure dans l’éternité.
LB_matin;LB_2 Petr 1, 10-11;
RB_matin;"R/. Clamávi ad te, Dómine; * Tu es refúgium meum. Clamávi. 
V/. Pórtio mea in terra vivéntium. * Tu es refúgium meum. Glória Patri. Clamávi.";"R/. J’ai crié vers toi, Seigneur. Tu es mon refuge.
V/. Ma part sur la terre des vivants. Tu es mon refuge. Glore au Père. J’ai crié."
benedictus;Deus, nostræ fons et orígo salútis, ita nos fac semper vita nostra tuam glóriam profitéri, ut et in cælis a tua numquam laude cessémus. Per Dóminum.;
preces_matin;preces_XIII;
oratio_laudes;Corda nostra, quæsumus, Dómine, resurrectiónis splendor illústret, quo mortis ténebris carére valeámus, et ad claritátem perveniámus ætérnam. Per Dóminum.;Que nos cœurs, nous te le demandons, Seigneur, la splendeur de la Résurrection les illumine, par laquelle nous pouvons être exempts des ténèbres de la mort et parvenir à la clarté éternelle.
HYMNUS_tertiam;hy_Nunc_Sancte_nobis_Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Súscipe, Dómine, servum tuum in bonum.;Accueille, Seigneur, ton serviteur dans ta bonté.
ant5;Respícite ad Dóminum, et illuminámini.;Revenez vers le Seigneur, il vous illuminera.
ant6;Iuxta est Dóminus his, qui contríto sunt corde.;Le Seigneur est aux côté de celui qui a le cœur contrit.
LB_3;LB_1 Sam 15, 22;
RB_3;"V/. Sacrifícium laudis honorificábit me.
R/. Et qui immaculátus est in via, osténdam illi salutáre Dei.";"V/. Le sacrifice de louange m’a honoré.
R/. Et celui qui est pur en ses voies, on lui présentera le salut de Dieu."
oratio_3;Dómine Deus, Pater omnípotens, nobis maiestáti tuæ subiéctis Sancti Spíritus lumen infúnde, ut ab omni hoste secúri, in tua iúgiter laude lætémur. Per Christum.;"Seigneur Dieu, Père tout-puissant, remplis-nous,  les serviteurs de ta majesté, de la lumière de l'Esprit Saint; pour que, sans rien craindre de tout adversaire, nous mettions notre joie à te louer continuellement. Par Jésus, le Christ, notre Seigneur. Amen."
LB_6;"LB_Gal 5, 26; 6, 2";
RB_6;"V/. Ecce quam bonum et quam iucúndum habitáre fratres in unum.
R/. Illic mandávit Dóminus benedictiónem.";"V/. Comme il est bon et joyeux pour des frères d’habiter ensemble.
R/. Cela procure la bénédiction du Seigneur."
oratio_6;Concéde nobis, Dómine, lux ardens caritátis ætérnæ, ut tua semper caritáte fervéntes, te super ómnia et fratres propter te uno diligámus amóre. Per Christum.;Seigneur, foyer brûlant de charité, accorde-nous une telle ferveur que nous soyons capables de t'aimer plus que tout et d'aimer nos frères à cause de toi. Par Jésus, le Christ, notre Seigneur. Amen.
LB_9;LB_Mic 6, 8;
RB_9;"V/. In via testimoniórum tuórum, Dómine, delectátus sum.
R/. Non oblivíscar sermónem tuum.";"V/. Dans la voie de tes préceptes, Seigneur, je me délecte.
R/. Je n’oublie pas ta parole."
oratio_9;Exáudi nos, Dómine, et præsta pacem, quam pétimus, consummátam, ut cunctis diébus vitæ nostræ tibi cum iucunditáte vacántes, beáta María Vírgine intercedénte, ad te secúri perveníre mereámur. Per Christum.;Exauce-nous, Seigneur, donne-nous la paix, que nous demandons, .... pour que passant tous les jours de notre vie avec agrément, par l’intercession de la bienheureuse Vierge Marie, nous méritions de parvenir jusqu’à toi dans la paix.
HYMNUS_vesperas;hy_Rerum, Deus, fons ómnium;
ant7;Rogáte quæ ad pacem sunt Ierúsalem.;Demandez la paix pour ceux qui sont à Jérusalem.
ant8;A custódia matutína usque ad noctem, sperávit ánima mea in Dómino.;Dès le premier matin jusqu’au soir, mon âme a espéré dans le Seigneur.
ant9;In nómine Iesu omne genu flectátur in cælo et in terra, allelúia.;Qu’au nom de Jésus tout genou fléchisse au ciel et sur la terre, alléluia.
LB_soir;LB_2 Petr 1, 19-21;
RB_soir;"R/. A solis ortu usque ad occásum, * Laudábile nomen Dómini. A solis.
V/. Super cælos glória eius. * Laudábile nomen Dómini. Glória Patri. A solis.";"R/. Du levant au couchant du soleil, que soit loué le nom du Seigneur.
V/. Sa gloire est dans les cieux. Que soit loué. Gloire au Père. "
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>
preces_soir;preces_I
