intitule;FERIA QUARTA CINERUM;MERCREDI DES CENDRES
HYMNUS_laudes;hy_Iam, Christe, sol iustítiæ;
ant1;"Tibi soli peccávi, Dómine; miserére mei.";"Contre toi seul j'ai péché, Seigneur ; aie pitié de moi."
ps1;ps50;
ant2;Cognóvimus, Dómine, iniquitátes nostras, quia peccávimus tibi.;Nous avons connu, Seigneur, nos iniquités, car nous avons péché contre toi.
ps2;AT34;
ant3;"Dóminus ipse est Deus; nos pópulus eius et oves páscuæ eius.";"Le Seigneur est Dieu; nous sommes son peuple et les brebis qu'il paît."
ps3;ps99;
LB_matin;LB_Deut 7, 6b. 8-9;
RB_matin;"R/. Ipse liberábit me * De láqueo venántium. Ipse. 
V/. Et a verbo malígno. * De láqueo venántium. Glória Patri. Ipse.";"R/. C'est lui qui m'a dégagé * des filets du chasseur. Il me. 
V/. Et des paroles haineuses. * Des filets du chasseur. Gloire au Père. C'est lui."
benedictus;Cum ieiunátis, nolíte fíeri, sicut hypócritæ, tristes.;Quand vous jeûnez, ne soyez pas tristes, comme les hypocrites.
preces_matin;preces_V;
oratio;Concéde nobis, Dómine, præsídia milítiæ christiánæ sanctis inchoáre ieiúniis, ut, contra spiritáles nequítias pugnatúri, continéntiæ muniámur auxíliis. Per Dóminum.;Accorde-nous, Seigneur, d'entrer par de saints jeûnes dans les rangs de la milice chrétienne, de sorte qu'ayant à lutter contre les esprits mauvais, nous soyons munis des secours que nous procure l'abstinence.
HYMNUS_tertiam;hy_Dei fide, qua vívimus;
HYMNUS_sextam;hy_Qua Christus hora sítiit;
HYMNUS_nonam;hy_Ternis ter horis númerus;
ant4;Advenérunt nobis dies pæniténtiæ ad rediménda peccáta, ad salvándas ánimas.;Les jours de la pénitence nous sont advenus, pour l'expiation des péchés, et le salut de nos âmes.
ant5;"Vivo ego, dicit Dóminus; nolo mortem peccatóris, sed ut magis convertátur et vivat.";Moi je vis, dit le Seigneur. Je ne prends pas plaisir dans la mort du pêcheur, mais à qu'il se convertisse et qu'il vive.
ant6;Per arma iustítiæ virtútis Dei, commendémus nosmetípsos in multa patiéntia.;Par les armes de la justice et de la force de Dieu, nous rendons recommandables d'une grande constance.                         
LB_3;LB_Ez 18, 30b-32;
RB_3;"V/. Cor mundum crea in me, Deus. 
R/. Et spíritum firmum ínnova in viscéribus meis.";"V/.O Dieu, crée en moi un coeur pur;  
R/. Et renouvelle au dedans de moi un esprit ferme."
LB_6;LB_1 Tim 1, 14-15;
RB_6;"V/. Avérte fáciem tuam a peccátis meis. 
R/. Et omnes iniquitátes meas dele.";"V/. Détourne ta face de mes péchés, 
R/. Efface toutes mes iniquités. "
LB_9;LB_1 Tim 1, 16;
RB_9;"V/. Sacrifícium Deo spíritus contribulátus. 
R/. Cor contrítum et humiliátum, Deus, non despícies.";"V/. Les sacrifices de Dieu, c'est un esprit brisé; 
R/. ô Dieu, tu ne dédaignes pas un coeur brisé et contrit. "
HYMNUS_vepres;hy_Iesu, quadragenáriæ;
ant7;Magnus est Dóminus, et Deus noster præ ómnibus diis.;Le Seigneur est grand, notre Seigneur est au-dessus de tous les dieux. 
ps7;ps134I;
ant8;"Domus Israel, benedícite Dómino; psállite nómini eius, quóniam suáve.";"Maison d'Israël, bénis le Seigneur; chante son nom, car il est bon."
ps8;ps134II;
ant9;Omnes gentes vénient et adorábunt coram te, Dómine.;Toutes les nations viendront près de toi et t'adoreront, Seigneur.
ps9;NT10;
LB_soir;LB_Phil 2, 12b-15a;
RB_soir;"R/. Ego dixi: Dómine, * Miserére mei. Ego. 
V/. Sana ánimam meam, quia peccávi tibi.* Miserére mei. Glória Patri. Ego.";"R/. J'ai dit Seigneur, * aie pitié de moi. J'ai dit. 
V/. Guéris mon âme car j'ai péché contre toi.* Aie pitié de moi. Gloire au Père. * J'ai dit."
magnificat;Cum facis eleemósynam, nésciat sinístra tua quid fáciat déxtera tua.; Quand tu fais l'aumône, que ta main gauche ne sache pas ce que fait ta main droite
preces_soir;preces_XVI;
