Hymnus;Hymne
Adórna, Sion, thálamum, ;Prépare, Sion, ta chambre nuptiale,
"quæ præstoláris Dóminum; ";toi qui attends le Seigneur
sponsum et sponsam súscipe ;accueille l'époux et l'épouse
vigil fídei lúmine.;toi qui veilles à la lumière de la foi.

Beáte senex, própera, ;Heureux vieillard, hâte-toi
promíssa comple gáudia ;porte à leur accomplissement les joies promises
et revelándum géntibus ;et révèle à tous la lumière
revéla lumen ómnibus.;qui doit éclairer les nations

Paréntes Christum déferunt, ;Ses parents portent le Christ
"in templo templum ófferunt; ";dans le temple ils offrent le vrai Temple
legi parére vóluit ;il a voulu obéir à la loi
qui legi nihil débuit.;celui qui ne devait rien à la loi.

Offer, beáta, párvulum, ;Offre, bienheureuse, ce petit enfant
"tuum et Patris únicum; ";l'unique pour toi et pour le Père
offer per quem offérimur, ;offre celui qui nous offre
prétium quo redímimur.;la rançon qui nous rachète

Procéde, virgo régia, ;Avance, vierge royale,
"profer Natum cum hóstia; ";"présente l'enfant avec la victime;"
monet omnes ad gáudium ;il invite tous les hommes à la joie
qui venit salus ómnium.;lui qui est venu les sauver tous

Iesu, tibi sit glória, ;Toute gloire à toi, ô Jésus,
qui te revélas géntibus, ;"qui es révélé aux païens;"
cum Patre et almo Spíritu, ;même gloire au Père, à l'Esprit,
in sempitérna sæcula. Amen.;à travers les siècles sans fin!
