Hymnus;Hymnus
Aptáta, virgo, lámpade ;Avec ta lampe allumée, ô vierge
ad núptias ingréssa es ;tu es entrée aux noces 
ætérni regis glóriæ, ;du roi éternel de gloire
quem laudant turbæ cælicæ.;que louent les myriades célestes

Grata convíva súperis, ;Heureuse compagne des saints
cælésti sponso iúngeris ;tu es unie à l'Epoux céleste
ampléxu casti foederis, ;par l'etreinte d'une chaste alliance
pudóris dives méritis.;riches des mérites de ta pureté

Normam vivéndi ínstrue, ;Enseigne-nous une règle de vie,
nos prece tua cónfove, ;réconforte-nous par ta prière,
possímus ut resístere ;afin que nous puissions résister
hostis nostri versútiæ.;aux artifices de notre ennemi

Exémplar vitæ vírginum, ;Que Marie, miroir des vierges
María roget Fílium, ;prie son Fils de nous accorder
ut eius adiutórium ;son secours
nos iuvet per exsílium.;dans notre exil.

Sit Deitáti glória ;Gloire à Dieu dans les siècles éternels
per infiníta sæcula ;pour la victoire de cette vierge
pro vírginis victória, ;qui réjouit
qua gaudet cæli cúria. Amen.;l'assemblée des saints.
