Hymnus;Hymne

Auctor beáte sæculi, ;Bienheureux créateur du monde, 
Christe, Redémptor ómnium, ;Christ, sauveur de tous, 
lumen Patris de lúmine ;lumière de la lumière du Père, 
Deúsque verus de Deo:;vrai Dieu né de Dieu,

Amor coégit te tuus ;C'est ton amour qui t'a contraint 
mortále corpus súmere, ;à prendre un corps mortel, 
ut, novus Adam, rédderes ;pour que, nouvel Adam, 
quod vetus ille abstúlerat:;"tu restaures ce que l'ancien avait perdu ;"

Ille amor, almus ártifex ;Cet amour, bienfaisant créateur de la terre,
terræ marísque et síderum, ; de la mer et des cieux, 
erráta patrum míserans ;eut pitié des égarements de nos pères 
et nostra rumpens víncula.;et brisa nos chaînes.

Non corde discédat tuo ;Que ton coeur ne perde pas cette force 
vis illa amóris íncliti: ;d'un amour admirable :
hoc fonte gentes háuriant ; qu'à cette source les peuples 
remissiónis grátiam.;puisent la grâce du pardon.

Ad hoc acérbam lánceam ;Si ton coeur souffrit la blessure 
passúmque ad hoc est vúlnera, ;de la lance cruelle, 
ut nos laváret sórdibus ;c'est pour nous laver de nos souillures 
unda fluénte et sánguine.;dans l'eau et le sang qui en découlent.

Iesu, tibi sit glória, ;Toute gloire à toi, ô Jésus, 
qui corde fundis grátiam, ;"qui de ton coeur répands la grâce ;"
cum Patre et almo Spíritu ; même gloire au Père, à l'Esprit,
in sempitérna sæcula. Amen.; à travers l'infini des siècles.
