Hymnus;Hymne
;
Audit tyránnus ánxius;Angoissé, le despote apprend
adésse regum príncipem,;L'avènement du Roi des rois
qui nomen Israel regat;Qui doit gouverner Israël
teneátque David régiam.;Sur le trône du roi David
;
Exclámat amens núntio:;Alors il s'écrie, hors de lui :
"«Succéssor instat, péllimur;";"« Un successeur vient nous chasser ;"
satélles, i, ferrum rape,;Garde, prends ton épée, allons !
perfúnde cunas sánguine!».;Répands le sang dans les berceaux. »
;
Quo próficit tantum nefas?;Mais à quoi sert un tel forfait ?
Quid crimen Heródem iuvat?;Et pour Hérode, quel profit ?
Unus tot inter fúnera;Car le Christ, parmi tant de morts,
impúne Christus tóllitur.;Est le seul à lui échapper.
;
Salvéte, flores mártyrum,;"Honneur à vous, fleurs des martyrs ;"
quos lucis ipso in límine;Sur le seuil même de vos jours,
Christi insecútor sústulit;L'ennemi du Christ vous faucha,
ceu turbo nascéntes rosas.;Roses naissantes sous le vent !
;
Vos prima Christi víctima,;Première offrande pour le Christ,
grex immolatórum tener,;Tendre troupeau des immolés,
aram sub ipsum símplices;Sous l'autel même, innocemment,
palma et corónis lúditis.;Couronne et palme sont vos joyaux !
;
Iesu, tibi sit glória,;Toute gloire à toi, ô Jésus,
qui natus es de Vírgine,;"Toi que la Vierge a enfanté ;"
cum Patre et almo Spíritu,;Même gloire au Père, à l'Esprit,
in sempitérna sæcula. Amen.;À travers les siècles sans fin ! Amen.
