Hymnus;Hymne

Aurea luce et decóre róseo, ;De lumière dorée et de pourpre éclatante,
lux lucis, omne perfudísti sæculum, ;tu remplis l'univers, lumière de lumière,
décorans cælos ínclito martyrio ;Tu as orné les cieux d'un illustre martyre
hac sacra die, quæ dat reis véniam.;en ce jour qui obtient le pardon des coupables.

Iánitor cæli, doctor orbis páriter, ;Maître des clés du ciel ou docteur des nations,
iúdices sæcli, vera mundi lúmina, ;tous deux juges du monde et ses vrais luminaires,
per crucem alter, alter ense triúmphans, ;vainqueurs l'un par la croix, l'autre par le glaive,
vitæ senátum laureáti póssident.;ils entrent couronnés, au sénat de la vie.

O Roma felix, quæ tantórum príncipum ;Toi qui fus empourprée, ô bienheureuse Rome,
es purpuráta pretióso sánguine, ;du sang très précieux de ces deux si grands princes,
non laude tua, sed ipsórum méritis ;ce n'est plus ton renom mais ce sont leurs mérites
excéllis omnem mundi pulchritúdinem.;qui te font dépasser toute beauté au monde.

Olívæ binæ pietátis únicæ, ;Vous, les deux oliviers d'une même douceur,
fide devótos, spe robústos máxime, ;faites qu'après leur mort revivent à jamais,
fonte replétos caritátis géminæ ;ceux qui furent remplis de votre charité,
post mortem carnis impetráte vívere.;consacrés par la foi et forts de l'espérance

Sit Trinitáti sempitérna glória, ;Honneur, puissance, gloire et jubilation,
honor, potéstas atque iubilátio, ;à la Trinité sainte à l'Unité divine,
in unitáte, cui manet impérium ;C'est elle qui détient le pouvoir souverain
ex tunc et modo per ætérna sæcula. Amen.;depuis toujours et maintenant et pour les siècles.
