Hymnus;Hymne
Auróra iam spargit polum,;Déjà l’aurore emplit le ciel,
terris dies illábitur,;Le jour se répand sur la terre,
lucis resúltat spículum:;La lumière éclate et rayonne :
discédat omne lúbricum.;Loin de nous, tout risque de chute !
;
Iam vana noctis décidant,;Que disparaissent les vains rêves,
mentis reátus súbruat,;Le péché qui accuse l’âme,
quicquid tenébris hórridum;Et ce que la nuit de nos fautes
nox áttulit culpæ, cadat,;Ajoutait d’horreur aux ténèbres.
;
Ut mane illud últimum,;Alors le glorieux matin
quod præstolámur cérnui,;Que nous attendons à genoux
in lucem nobis éffluat,;Nous inondera de lumière
dum hoc canóre cóncrepat.;Tandis que nous chantons cette hymne.
;
Deo Patri sit glória;O Christ, ô Roi plein d’indulgence,
eiúsque soli Fílio;Gloire à toi et gloire à ton Père,
cum Spíritu Paráclito,;Avec l’Esprit Consolateur,
in sempitérna sæcula. Amen.;A travers les siècles sans fin !
