Hymnus;Hymne
;
Bernárde, gemma cælitum,;Bernard, joyau des habitants des cieux,
laudes, tibi quas pángimus,;fais servir les louanges 
in nostra verte gáudia;que nous te chantons à notre joie 
salútis atque múnera.;et à notre salut.
;
Te Christus ussit íntimo;Le Christ t'a brûlé au plus profond 
dilectiónis vúlnere;"d'une blessure d'amour ;"
Sponsæque fecit próvidus;dans sa providence, il t'a fait bouclier
scutum, colúmnam, lámpada.;colonne et flambeau de l'épouse.
;
Almus dedit te Spíritus;
os veritátis prófluum;
et angelórum pábuli;
arcána mella próferens.;
;
Amóris æstu cándidi;
te Virgo Mater ímbuit,;
quam nemo te facúndius;
vel prædicávit áltius.;
;
Te quæsiérunt árbitrum;
reges, magístri, præsules,;
cultórque solitúdinis;
fama replésti s?culum.;
;
Sit Trinitáti glória,;
quæ se vidéndam lárgiens,;
tecum benígna gáudio;
nos det perénni pérfrui. Amen.;
