Hymnus;Hymne
Celsæ salútis gáudia ;Que le peuple chrétien célèbre
mundus fidélis iúbilet: ;dans l'allégresse les joies du salut:
Iesus, redémptor ómnium, ;Jésus, rédempteur de l'univers,
mortis perémit príncipem.;a fait périr le prince de la mort .
;
Palmæ et olívæ súrculos ;Portant en cortège des palmes
coetus viándo déferens, ;et des rameaux d'olivier,
«Hosánna David fílio» ;la foule d'une voix claire répète ce refrain:
claris frequéntat vócibus.;«Hosanna au fils de David!»
;
Nos ergo summo príncipi ;Courons tous, nous aussi,
"currámus omnes óbviam; ";"à la rencontre du grand roi;"
melos canéntes glóriæ, ;en chantant sa gloire,
palmas gerámus gáudii.;agitons joyeusement nos palmes.
;
Cursúsque nostros lúbricos ;Par ses dons divins,
donis beátis súblevet, ;qu'il soutienne nos pas chancelants:
grates ut omni témpore ;en tout temps nous lui chanterons
ipsi ferámus débitas.; notre reconnaissance.
;
Deo Patri sit glória ; A Dieu le Père soit la gloire,
eiúsque soli Fílio ; et gloire à son unique Fils,
cum Spíritu Paráclito ;avec l'Esprit Consolateur,
in sempitérna sæcula. Amen.;à travers l'infini des siècles!
