Hymnus;Hymne
Christe, cælórum Dómine,;Ô  Christ, seigneur des cieux,
mundi salvátor máxime,;souverain Sauveur du monde,
qui crucis omnes múnere;par la grâce de ta croix
mortis solvísti légibus,;tu nous as libérés de la loi de la mort.
;
Te nunc orántes póscimus,;C'est toi que notre prière implore maintenant :
tua consérves múnera,;ne nous retire pas les dons
quæ sacra per mystéria;que tu as faits à tous les peuples
cunctis donásti géntibus.;par ces saints mystères.
;
Tu agnus mitis, ínnocens,;Doux agneau innocent offert
oblátus terræ víctima,;en victime pour la terre,
sanctórum vestes ómnium;tu as lavé dans ton sang
tuo lavásti sánguine.;la robe de tous les saints.
;
Quos redemísti prétio;Ceux que tu as rachetés
tui sacráti córporis,;au prix de ton saint corps,
cælo resúrgens ádvehis;par ta résurrection tu les conduits au ciel,
ubi te laudant pérpetim.;où ils te louent sans fin.
;
Quorum nos addas número,;Associe-nous à leur nombre,
te deprecámur, Dómine,;nous t'en supplions, Seigneur,
qui Patri nos ex ómnibus;toi qui a fait de nous, venus de tous les peuples
fecísti regnum pópulis. Amen.;un royaume pour ton Père.
