Hymnus;Hymne
Christe, qui, splendor et dies ;O Christ, la splendeur et le jour,
noctis tenébras détegis, ;qui chasses l'ombre de la nuit,
lucísque lumen créderis, ;nous croyons que tu es lumière,
lumen beátis prædicans,;promettant lumière aux élus.
;
Precámur, sancte Dómine, ;Seigneur très saint, nous t'en prions,
"hac nocte nos custódias; ";"en cette nuit protège-nous ;"
sit nobis in te réquies, ;fais que nous reposions en toi,
quiétas horas tríbue.;donne-nous des heures de paix.
;
Somno si dantur óculi, ;"Nos yeux se livrent au sommeil ;"
"cor semper ad te vígilet; ";"que nos c&oelig;urs veillent pour t'attendre;"
tuáque dextra prótegas ;protège de ton bras puissant
fidéles, qui te díligunt.;ceux qui te gardent leur amour.
;
Defénsor noster, áspice, ;Regarde-nous ô Défenseur,
insidiántes réprime, ;repousse au loin ceux qui nous guettent,
gubérna tuos fámulos,;daigne guider tes serviteurs
quos sánguine mercátus es.;que tu rachetas par ton sang.
;
Sit Christe, rex piíssime ;O Christ, ô Roi plein de bonté,
tibi Patríque glória ;gloire à toi et gloire à ton Père,
cum Spíritu Paráclito, ;avec l'Esprit Consolateur,
in sempitérna sæcula. Amen.;à travers les siècles sans fin. Amen.
