Hymnus;Hymne
;
Christe, splendor Patris,;Ô Christ, splendeur du Père,
Dei mater Virgo,;Vierge, Mère de Dieu,
Ioseph, tam sacrórum;Joseph, gardien de gages si saints,
pígnorum servátor,;
;
Nitet vestra domus;Les fleurs des vertus
flóribus virtútum,;font briller votre famille
unde gratiárum;une source de gâces en jaillit
fons prománat ipse.;
;
Angeli stupéntes;Les anges stupéfaits
Natum Dei cernunt;voient le Fils de Dieu,
servi forma indútum;ayant pris la forme servile,
servis famulántem.;se mettre au service de ses serviteurs.
;
Imus præes, Ioseph,;Tu es le chef, Joseph, quoique le moindre,
"humilísque iubes;";"tu commandes malgré ton humilité ;"
iubes et María;Marie, tu commandes aussi,
et utríque servis.;et tu sers tous deux.
;
Cunctis præstant aulis;Ces pauvres murs valent plus
hæc egéna sæpta,;que tous les palais,
salus unde c?pit;puisque d'eux est issu
géneris humáni.;le salut du genre humain.
;
Iesu, Mater, Ioseph,;Jésus, Marie et Jospeh,
mansiónis vestræ;faites que nos familles
nostras date sedes;jouissent des fruits
donis frui sanctis.;de sainteté de votre maison.
;
Tibi laudes, Christe,;Louanges à toi, ô Christ !
spem qui nobis præbes,;Par tes parents,
tuos per paréntes;tu nous donnes l'espérance
cæli adíre domum. Amen.;d'atteindre notre demeure du ciel. Amen.
