Hymnus;Hymne
;
Christus est vita véniens in orbem,;"Le Christest la vie qui vient en ce monde ;"
qui ferens vulnus removénsque mortem,;"il porte nos blessures et nous délivre de la mort ; "
ad Patris dextram repeténdo, regnat;Regagnant la droite du Père,
sede supérna.;il règne depuis le ciel.
;
Hunc sequens primus Stéphanus miníster;Son diacre Etienne l'a suivi le premier,
sortis illátæ título est decórus,;Ennobli par le sort glorieux
quam dedit spirans Dómini benígnus;que lui a attribué, dans sa bonté,
Spíritus illi.;le souffle de l'Esprit du Seigneur.
;
Sáxeo nimbo lapidátus instat,;Frappé par une pluie de pierres,
sústinet mortis rábiem profánam,;"il tient bon et affronte la rage meurtrière des impies ;"
hóstibus quærit véniam misértus;pris de pitié, il implore le pardon de ses ennemis
péctore grato.;"d'un c&eolig;ur bienveillant."
;
Quæsumus flentes, benedícte prime;Nous t'en prions en pleurant,
martyr et civis sociáte iustis:;heureux premier martyr,
cælitus, claræ regiónis heres,;concitoyen des justes, héritier du Royaume de lumière,
mitte favóres.;Accorde-nous du ciel ta faveur.
;
Glóriæ laudes Tríadi beátæ;Et nous, compagnons joyeux des martyrs,
mártyrum læti cómites canámus,;chantons les louanges de la gloire de la Sainte Trinité,
quæ dedit primas Stéphano ex agóne;qui a donné à Etienne de remporter
ferre corónas. Amen.;le premier la couronne du combat. Amen.
