Hymnus;Hymne

Crux, mundi benedíctio, ;O croix, bénédiction du monde
spes cértaque redémptio, ;espérance et sûre délivrance,
olim gehénnæ báiula, ;jadis soutien de la géhenne
nunc clara cæli iánua,;maintenant porte lumineuse su ciel.

In te levátur hóstia ;Sur toi se dresse la victime 
ad se qui traxit ómnia, ;"qui attire tout à elle;"
quam mundi princeps ímpetit ;le prince de ce monde l'attaque,
suúmque nihil ínvenit.;mais il n'a rien trouvé qui lui appartienne.

Patri, tibi, Paráclito ;Gloire à toi, Jésus, 
sit æqua, Iesu, glória, ;au Père, au Paraclet.
qui nos crucis victória ;Tu nous fais jouir à jamais 
concédis usque pérfrui. Amen.;de la victoire de la croix
