Hymnus;Hymne
Cæli Deus sanctíssime,;Dieu très saint du ciel
qui lúcidum centrum poli;qui pare de l'éclat du feu
candóre pingis ígneo;le centre brillant du ciel,
augens decóri lúmina,;"et rends sa beauté lumineuse ;"
;
Quarto die qui flámmeam;Toi qui le quatrième jour,
solis rotam constítuens,;établis le disque enflammé du soleil
lunæ minístras órdini;et soumets au cycle de la lune
vagos recúrsus síderum,;les retours des astres errants,
;
Ut nóctibus vel lúmini;Pout traer une frontière
diremptiónis términum,;entre la nuit et la lumière
primórdiis et ménsium;et marquer le commencement des mois
signum dares notíssimum:;d'un signe bien reconnaissable :
;
Illúmina cor hóminum,;Illumine le coeur des hommes,
abstérge sordes méntium,;enlève les souillures de leurs âmes,
resólve culpæ vínculum,;briseles liens du péché,
evérte moles críminum.;renverse la masse de nos fautes.
;
Præsta, Pater piíssime,;Exauce-nous père très bon,
Patríque compar Unice,;et toi aussi, Unique égal au Père,
cum Spíritu Paráclito;ave l'Esprit consolateur,
regnans per omne sæculum. Amen.;qui règne pour tous les siècles. Amen. 
