Hymnus;Hymne
;
Cælitum, Ioseph, decus atque nostræ;Joseph, honneur des habitants du ciel
certa spes vitæ columénque mundi,;espérance assurée de notre vie et colonne du monde,
quas tibi læti cánimus, benígnus;accueille avec bienveillance
  súscipe laudes.;nos joyeux chants de louange.
;
Te, satum David, státuit Creátor;Rejeton de David, c'est toi que le Créateur
Vírginis sponsum, voluítque Verbi;a donné comme époux à la Vierge,
te patrem dici, dedit et minístrum;et il a voulu qu'on t'appelât le père de son Verbe,
  esse salútis.;t'établissant ministre du salut.
;
Tu Redemptórem stábulo iacéntem,;Tu contemples avec joie le Rédempteur couché dansl'étable
quem chorus vatum cécinit futúrum,;"que le chœur des prophètes avait annoncé ;"
áspicis gaudens, sociúsque matris;aux côtés de sa Mère, tu es le premier
  primus adóras.;à l'adorer.
;
Rex Deus regum, dominátor orbis,;Dieu, le roi des rois, maître de l'univers,
cuius ad nutum tremit inferórum;toi qui d'un signe fais trembler les hordes infernales
turba, cui pronus famulátur æther,;et que les cieux servent à genoux,
  se tibi subdit.;se soumet à toi.
;
Laus sit excélsæ Tríadi perénnis,;Louange éternelle à la Trinité souveraine
quæ, tibi insígnes tríbuens honóres,;"qui t'a gratifié des honneurs suprêmes ;"
det tuis nobis méritis beátæ;puisse-t'elle par tes mérites nous accorder les joies
  gáudia vitæ. Amen.;de la vie bienheureuse. Amen.
