Hymnus;Hymne

Dei fide, qua vívimus, ;Dans la foi en Dieu, dont nous vivons, 
qua spe perénni crédimus, ;"dans l'espérance sans fin par laquelle nous croyons ;"
per caritátis grátiam ;par la grâce de la charité, 
Christi canámus glóriam,;chantons la gloire du Christ.

Qui ductus hora tértia ;Conduit à la troisième heure 
ad passiónis hóstiam, ;à l'immolation de sa passion, 
crucis ferens suspéndia ;chargé du gibet de la croix,
ovem redúxit pérditam.; il a ramené la brebis perdue.

Precémur ergo súbditi, ;Prions donc avec soumission 
redemptióne líberi, ;qu'après nous avoir libérés par la rédemption,
ut éruat a sæculo ; il arrache au monde 
quos solvit a chirógrapho.;ceux dont il a acquitté la dette.

Christum rogámus et Patrem, ;Implorons le Christ 
"Christi Patrísque Spíritum; ";et le Père et l'Esprit du Père 
unum potens per ómnia, ;et du Christ: ô Trinité, une et puissante, 
fove precántes, Trínitas. Amen.;daigne écouter ceux qui te prient.
