Hymnus;Hymne
Doctor ætérnus cóleris piúsque, ;Nous honorons en toi, ô Christ, le docteur éternel
Christe, qui leges áperis salútis, ; plein de bonté  qui révèle les lois du salut,
verba qui vitæ mérito putáris ; et nous croyons que toi seul, tu détiens
solus habére.;les paroles de la vie.

Teque clamámus, bone Pastor orbis, ;Nous proclamons, bon Pasteur de l'univers, 
cælitus semper solidásse Sponsæ ;que tu as confirmé pour toujours dans les cieux 
verba, constánter quibus illa mundo ;les paroles de ton épouse, faisant d'elle
lumen adésset.; la lumière secourable du monde.

Ipse quin præbes fámulos corúscos, ;C'est toi qui nous donnes d'illustres serviteurs,
áureas stellas velut emicántes, ; brillants comme de belles étoiles,
certa qui nobis réserent beátæ ; pour qu'ils nous dévoilent les dogmes très sûrs de 
dógmata vitæ.;la vie bienheureuse.

Unde te laudes récinant, Magíster, ;Que nos louanges te chantent donc, Maître, 
Spíritus fundis bona qui stupénda ;qui répands les dons admirables de ton Esprit 
ore doctórum, tua quo poténter ;par la bouche des docteurs, pour mieux
lux patet alma.; faire briller ta lumière.

Quique nunc iustus celebrátur, instet ;Que le juste que nous célébrons aujourd'hui 
ut tuam plebem per amoena lucis ;intercède pour que tu donnes à ton peuple
des gradi, donec tibi dicat hymnos ; de monter dans ta belle clarté jusqu'à ce qu'il chante tes louanges
lúmine pleno. Amen.; dans la pleine lumière.
