Hymnus;Hymne
Ecce iam noctis tenuátur umbra,;Voici que défont les ombres de la nuit 
"lucis auróra rútilans corúscat;";Rougeoyante, l’aurore étincelle,
nísibus totis rogitémus omnes;"splendide ; De toute notre ardeur,"
cunctipoténtem.;ensemble supplions Le Seigneur tout-puissant.
;
Ut Deus, nostri miserátus, omnem;Que Dieu veuille nous prendre en sa miséricorde : 
pellat angórem, tríbuat salútem,;Qu’il chasse tout effroi, nous donne le salut. 
donet et nobis pietáte patris;Qu’il nous accorde aussi, dans sa bonté de Père, 
regna polórum.;Le royaume des cieux.

Præstet hoc nobis Déitas beáta;Que Dieu nous le concède en sa béatitude,
Patris ac Nati, paritérque Sancti;Lui qui est Père, Fils et qui est Saint-Esprit, 
Spíritus, cuius résonat per omnem;Celui qui résonne, en l’univers entier,
glória mundum. Amen.; La louange de gloire !
