Hymnus;Hymne
Excélsam Pauli glóriam ;Que l'Eglise célèbre d'un seul cœur
concélebret Ecclésia, ;"la gloire éminente de Paul ;"
quem mire sibi apóstolum ;d'une manière admirable le Seigneur a fait un apôtre
ex hoste fecit Dóminus.; de l'ennemi qu'il était

Quibus succénsus æstibus ;Brûlant de zèle,
in Christi nomen sæviit, ;il se déchaînait contre le nom du Christ
exársit his impénsius ;il s'embrasa d'un feu plus vif
amórem Christi prædicans.;pour prêcher son amour.

O magnum Pauli méritum! ;Qu'il est grand, le mérite de Paul !
Cælum conscéndit tértium, ;Elevé au troisème ciel,
audit verba mystérii ;il entend des paroles mystérieuses
quæ nullus audet éloqui.;qu'il n'ose dire à personne.

Dum verbi spargit sémina, ;Tandis qu'il sème la parole,
"seges surgit ubérrima; ";"une moisson surabondante se lève;"
sic cæli replent hórreum ;ainsi s'emplissent les greniers du ciel
bonórum fruges óperum.;du fruit des bonnes œuvres

Micántis more lámpadis ;Tel une lampe brillante, 
"perfúndit orbem rádiis; ";il baigne de ses rayons l'univers
fugat errórum ténebras, ;et chasse les ténèbres de l'erreur
ut sola regnet véritas.;pour que règne la seule vérité.

Christo sit omnis glória, ;Au Christ soit toute gloire,
cum Patre et almo Spíritu,;avec le Père et l'Esprit divin
qui dedit vas tam fúlgidum ;pour avoir donné aux nations
electiónis géntibus. Amen.;un vase d'élection si resplendissant.
