Hymnus;Hymne
Fortem piúmque præsulem ;Chantons tous le pasteur
canámus omnes, túrbidas ;saint et fort qui a repoussé
qui fluctuántis sæculi;de notre terre les tempêtes tumultueuses
terris procéllas éxpulit.;de ce siècle ballotté par les flots.
;
Non sceptra concússus timet,;Le sceptre impérial ne l'ébranle pas
non imperántem féminam,;"il ne craint pas l'impératrice ;"
templóque, clausis póstibus,;fermant les portes du temple,
arcet cruéntum cæsarem.;il en exclut César, couvert de sang.
;
Arcána sacræ páginæ ;Il explique avec une profondeur
"magistralealtus magíster éxplicat;";les secrets du texte
sacrédivína pandens dógmata, ;il expose les dogmes 
divinsmira nitet facúndia.;avec une admirable éloquence.
;
Fide ciénte spíritum,;Sa foi lui inspire de composer
"præclára fundit cármina;";"de célèbres cantiques ;"
fide coæquans mártyres,;sa foi l'égale aux martyrs
depréndit artus mártyrum.;dont il retrouve les corps.
;
Iam nunc furéntem tártari;Et maintenant, chasse à coups de fouet
"lupum flagéllo súbmove;";"le loup infernal déchaîné ;"
sciéntiæ nos lúmine;par la lumière de ta science,
fove, tuére iúgiter.;viens à notre aide et protège-nous sans relâche.
;
Sit Trinitáti glória,;Gloire à la Trinité !
quam, te rogánte próspere,;Puissions nous, à la faveur de ton intercession
hymnis in aula cælica;lui chanter nos hymnes de louange
laudémus usque in sæculum. Amen.;dans le sanctuaire céleste pour tous les siècles. Amen.
