Hymnus;Hymnus
Hi sacerdótes Dómini sacráti, ;Ces saints prêtres du Seigneur
consecratóres Dómini fidéles ; ont sanctifié et fait paître fidèlement 
atque pastóres pópuli fuére ;leur peuple dans leur amour
ímpigro amóre.;infatigable

Namque suscéptæ benedictiónis ;Ils gardèrent le don de leur consécration
dona servántes, studuére, lumbos ;en s'efforçant, la ceinture aux reins, 
fórtiter cincti, mánibus corúscas ;de tenir à la main 
ferre lucérnas.;leurs lampes allumées

Sicque suspénsi vigilésque, quando ;Ainsi, attentifs et vigilants
iánuam pulsans Dóminus veníret, ;quand le Seigneur frappa à la porte
obviavérunt properánti alácres ;ils se protèrent à sa rencontre
pándere limen.;avec allégresse pour la lui ouvrir

Glóriæ summum decus atque laudis, ;Gloire à toi, roi des rois,
rex, tibi, regum, Déitas perénnis, ;divinité éternelle, tout être rende un tribut suprême
quicquid est rerum célebret per omne ;de louange et de gloire
tempus et ævum. Amen.;sans l'infini des temps.
