Hymnus;Hymne
Horis peráctis úndecim;La onzième heure est accomplie,
"ruit dies in vésperum;";"Le jour décline vers le soir ;"
solvámus omnes débitum;Le coeur joyeux, acquittons-nous
mentis libénter cánticum.;De notre devoir de louange.
;
Labor diúrnus tránsiit;La journée de peine est finie
"quo, Christe, nos condúxeras;";Où tu nous embauchas seigneur :
da iam colónis víneæ;donne aux ouvriers de ta vigne
promíssa dona glóriæ.;La gloire que tu leur promets.
;
Mercéde quos nunc ádvocas,;Ton appel propose un salaire,
quos ad futúrum múneras,;Et tu le verseras plus tard :
nos in labóre ádiuva;Aide-nous dans notre labeur,
et post labórem récrea.;Fais-nous revivre après la peine.
;
Sit, Christe, rex piíssime,;O Christ, ô Roi plein de bonté,
tibi Patríque glória;Gloire à toi et gloire à ton Père,
cum Spíritu Paráclito,;Avec l'Esprit consolateur,
in sempitérna sæcula. Amen.;A travers les siècles sans fin.
