Hymnus;Hymne
;
Hostis Heródes ímpie,;Hérode, cruel ennemi,
Christum veníre quid times?;pourquoi crains-tu la venue du Christ ?
Non éripit mortália;Il n'enlève pas les royaumes de la terre,
qui regna dat cæléstia.;lui qui donne de régner dans le ciel.
;
Ibant magi, qua vénerant;Les mages marchaient en suivant l'étoile
stellam sequéntes præviam,;"qui leur montrait le chemin ;"
lumen requírunt lúmine,;à sa lumière ils cherchent la lumière,
Deum faténtur múnere.;ils reconnaissent Dieu par leur offrande.
;
Lavácra puri gúrgitis;L'Agneau du ciel a touché
"cæléstis Agnus áttigit;";"les eaux d'une source pure ;"
peccáta quæ non détulit;en nous lavant il a enlevé
nos abluéndo sústulit.;les péchés qu'il n'a pas commis.
;
Novum genus poténtiæ:;Nouveau signe de puissance :
aquæ rubéscunt hýdriæ,;"les eaux des urnes rougissent ;"
vinúmque iussa fúndere;sur son ordre, le vin coule,
mutávit unda oríginem.;et l'eau change de nature.
;
Iesu, tibi sit glória,;Toute gloire à toi,
qui te revélas géntibus,;"qui te révèle aux païens ;"
cum Patre et almo Spíritu,;même gloire au Père, à l'Esprit,
in sempitérna sæcula. Amen.;à travers les siècles sans fin ! Amen.
