Hymnus;Hymne
Iam surgit hora tértia, ;Voici venir la troisième heure
"qua Christus ascéndit crucem; ";où le Christ monta sur la croix :
nil ínsolens mens cógitet, ;que cesse toute pensée d'orgueil,
inténdat afféctum precis.;que le cœur s'applique à prier !

Qui corde Christum súscipit, ;Qui porte le Christ en son âme
innóxium sensum gerit ;n'a point de désir pour le mal :
votísque præstat sédulis ;il aspire de tous ses vœux
Sanctum meréri Spíritum.;à recevoir le Saint-Esprit.

Hæc hora, quæ finem dedit ;Voici l'heure qui mit un terme
"diri vetérno críminis; ";"à la vieillesse du péché ;"
hinc iam beáta témpora ;désormais, la grâce du Christ
coepére Christi grátia.;inaugure le vrai bonheur.

Iesu, tibi sit glória, ;A toi, Jésus, soit la louange,
qui morte victa prænites, ;"glorieux vainqueur de la mort ;"
cum Patre et almo Spíritu, ;louange au Père et à l'Esprit,
in sempitérna sæcula. Amen.;à travers les siècles sans fin.
