Hymnus;Hymne

Iam, Christe, sol iustítiæ,;O Christ, ô Soleil de justice,
mentis dehíscant ténebræ,;dissipe la nuit de nos âmes :
virtútum ut lux rédeat,;que l’éclat des vertus renaisse,
terris diem cum réparas.;quand tu rends le jour à la terre.

Dans tempus acceptábile;En nous donnant ce temps de grâce,
et pænitens cor tríbue,;"rends aussi nos cœurs pénitents ;"
convértat ut benígnitas;et ta bonté convertira
"quos longa suffert píetas;";ceux que supporte ta patience.

Quiddámque pæniténtiæ;Accorde-nous de nous soumettre
da ferre, quo fit démptio,;aux pénitences qui effacent,
maióre tuo múnere,;si grand soit-il, notre péché,
culpárum quamvis grándium.;par le don plus grand de la grâce.

Dies venit, dies tua,;"Voici le jour, voici ton jour ;"
"per quam reflórent ómnia;";"il fait refleurir tous les êtres ;"
lætémur in hac ut tuæ;"réjouissons-nous en ce jour ;"
per hanc redúcti grátiæ.;il nous ramène dans ta grâce.

Te rerum univérsitas,;Que toute chose en l’univers
clemens, adóret, Trínitas,;"t’adore, ô Trinité clémente ;"
et nos novi per véniam;renouvelés par le pardon,
novum canámus cánticum. ;chantons le cantique nouveau.
