Hymnus;
Iesu, córona virginum,;Jésus, couronne des vierges,
quem Mater illa cóncipit;conçu de cette mère qui seule
quæ sola virgo párturit,;resta vierge en son enfentement
hæc vota clemens áccipe.;accueille nos voeux avec bonté

Qui pascis inter lília;Tu pais ton troupeau parmi les lys,
sæptus choréis vírginum,;entouré des choeurs des vierges.
sponsus decórus glória;Époux rayonnant de gloire,
sponsísque reddens praémia.;tu récompenses tes épouses.

Quocúmque pergis, virgines;Partout où tu vas, les vierges te suivent,
sequúntur, atque láudibus;elles s'empressent sur tes pas
post te canéntes cúrsitant;en chantant tes louanges,
hymnósque dulces pérsonant.;et font résonner des hymnes mélodieuses.

Te deprecámur, lárgius;Nous t'en prions, accorde
nostris adáuge méntibus;plus généreusement encore à
nescire prorsus;nos âmes d'ignorer toutes les
ómnia corruptiónis vúlnera.;atteintes du vice.

lesu, tibi sit gloria,;Toute gloire à toi, ô Jésus, à
qui natus es de Virgine,;"toi qui es né de la Vierge; au"
cum Patre et almo Spiritu,;Père, à l'Esprit, même gloire, à
in sempitérna saécula.;travers les siècles sans fin!
