Hymnus;Hymne
Iesu, redémptor sæculi,;Jésus sauveur du monde,
Verbum Patris altíssimi,;Verbe du Père Très Haut,
lux lucis invisíbilis,;Lumière de l’invisible lumière,
custos tuórum pérvigil.;Gardien vigilant des tiens

Tu fabricátor ómnium;Créateur du monde
discrétor atque témporum,;qui règles la succession des temps,
fessa labóre córpora;refais par le repos de la nuit,
noctis quiéte récrea.;nos corps épuisés de travail.

Qui frangis ima tártara,;Toi qui brises les profondeurs de l’enfer,
tu nos ab hoste líbera,;"Libère-nous de l’ennemi ;"
ne váleat sedúcere;Qu’il ne parvienne pas à séduire
tuo redémptos sánguine.;Ceux que tu as rachetés par ton sang.

Ut, dum graváti córpore,;Ainsi pendant que notre corps
brevi manémus témpore,;Restera appesanti pour peu de temps
sic caro nostra dórmiat;Notre chair dormira,
ut mens sopórem nésciat.;Mais notre esprit ignorera le sommeil.

Iesu, tibi sit glória,;A toi, Jésus, soit la louange,
qui morte victa prænites,;Glorieux vainqueur de la mort,
cum Patre et almo Spíritu,;Louange au Père et à l’Esprit,
in sempitérna sæcula. Amen.;A travers les siècles sans fin.
