Hymnus;Hymne
Inter ætérnas súperum corónas,;Parmi les élus dont nous célébrons les couronnes immortelles,
quas sacro partas cólimus triúmpho,;récompense d'un saint triomphe, 
émicas celsis méritis corúscus,;tu brilles de l'éclat de grands mérites,
o Benedícte!;ô Benoït !

Sancta te compsit púerum senéctus,;Dès ton enfance tu montras la sainteté d'un ancien
nil sibi de te rápuit volúptas,;le plaisir n'eut pour toi aucun attrait
áruit mundi tibi flos, ad alta;la fleur de ce monde apparut fanée à ton âme
mente leváto.;tournée vers le ciel.

Hinc fuga lapsus pátriam, paréntes;Fuyant ce monde, tu délaisses patrie et parents,
"déseris, fervens némorum colónus;";"et tu t'enfonces avec ferveur dans les bois;"
inde conscríbis documénta vitæ;alors, tu rédiges les admirables enseignements
pulchra beátæ.;de la vie bienheureuse.

Iam docens omnes pópulos subésse;Enseigne maintenant à tous les peuples
légibus tandem placitísque Christi,;de suivre enfin les lois et les commandements du Christ.
fac tuis cuncti précibus petámus;Obtiens-nous par tes prières de rechercher 
cælica semper.;toujours les biens célestes.

Cláritas Patri genitæque Proli,;"Gloire au Père et au Fils qu'il engendre;"
Flámini Sancto decus atque cultus,;au Souffle divin, hommage et vénération.
grátia quorum tibi tanta laudis;C'est par leur grâce que la gloire de ta louange
glória lucet. Amen.;brille d'un tel éclat.
