Hymnus;Hymne
Lucis largítor spléndide,;Toi qui rayonnes la lumière,
cuius seréno lúmine;O toi dont la clarté sereine
post lapsa noctis témpora;Ouvre et partout répand le jour,
dies refúsus pánditur,;Quand a passé l’heure nocturne,
;
Tu verus mundi lúcifer,;C’est toi l’astre vrai du matin,
non is qui parvi síderis;Ce n’est point la petite étoile
ventúræ lucis núntius;Dont la pauvre et faible lueur
angústo fulget lúmine,;Ne fait que précéder le jour.
;
Sed toto sole clárior,;Toi plus vif que tout le soleil,
lux ipse totus et dies;Tout entier jour, pure lumière,
intérna nostri péctoris;Tu viens illuminer en nous
illúminans præcórdia.;Le plus profond de notre cœur.
;
Evíncat mentis cástitas;Que l’âme chaste puisse vaincre
quæ caro cupit árrogans,;Les désirs mauvais de la chair,
sanctúmque puri córporis;Que l’Esprit Saint conserve pur
delúbrum servet Spíritus.;Le sanctuaire de nos corps.
;
Sit, Christe, rex piíssime,;O Christ, ô Roi plein de bonté,
tibi Patríque glória;Gloire à toi et gloire à ton Père,
cum Spíritu Paráclito;Avec l’Esprit Consolateur,
in sempitérna sæcula. Amen.;A travers les siècles sans fin.
