Hymnus;Hymne

Légifer prudens, veneránde doctor,;Sage législateur, docteur vénérable,
qui nites celsis méritis per orbem,;qui resplendis sur tout l'univers par tes mérites éminents
dénuo comple, Benedícte, mundum;Benoît, remplis encore le monde
lúmine Christi.;de la lumière du Christ.

Flóruit per te novus atque miro;Grâce à toi a fleuri un ordre nouveau,
"géntium nexu sociátus ordo;";"une union admirable de nations;"
iúribus sacris tua vox subégit;ta voix a soumis doucement tous les hommes
dúlciter omnes.;aux lois divines.

Líberos Iesu paritérque servos;D'hommes libres comme d'esclaves,
régula magna statuísti alúmnos,;ta grande règle fait des disciples de Jésus,
quos amor fotus précibus revínxit;unis par l'amour nourri dans la prière
et labor unus.;et par un même labeur.

Iamque fratérne, duce te, labórent,;"Désormais sous ta conduite, que les peuples travaillent en frères;"
mútuo certent pópuli favóre,;qu'ils rivalisent d'amour mutuel
gáudeant pacis refovére semper;et se réjouissent de voir refleurir sans cesse
dona beátæ.;les dons de la paix bienheureuse.

Cláritas Patri genitæque Proli,;Gloire au Père et au Fils qu'il engendre,
Flámini Sancto decus atque cultus,;au Souffle divin, hommage et vénération.
grátia quorum tibi tanta laudis;C'est par leur grâce que la gloire de ta louange
glória lucet. Amen.;brille d'un tel éclat.
