Hymnus;Hymne
;
Magnis prophétæ vócibus;De leurs grandes voix, les prophètes
veníre Christum núntiant,;"Annoncent la venue du Christ ;"
lætæ salútis prævia,;La grâce qui nous racheta
qua nos redémit, grátia.;Nous prépare aux joies du saluts.
;
Hinc mane nostrum prómicat;Voici briller notre matin,
et corda læta exæstuant,;"Les c&oelig;urs tressaillent d'allégresse,"
cum vox fidélis pérsonat;Quand résonne la voix des fidèles
prænuntiátrix glóriæ.;Qui prédit la gloire à venir.
;
Advéntus hic primus fuit,;En son premier avènement,
puníre quo non sæculum;Il vint, non pour punir le monde,
venit, sed ulcus térgere,;Mais pour en nettoyer les plaies,
salvándo quod períerat.;Sauver ce qui était perdu.
;
At nos secúndus præmonet;Mais le second avènement
adésse Christum iánuis,;Nous dit : le Christ est à vos portes
sanctis corónas réddere;Pour remettre aux saints la couronne,
cælíque regna pándere.;Ouvrir le Royaume des cieux.
;
Ætérna lux promíttitur;L'astre qui nous sauve apparaît,
"sidúsque salvans prómitur;";Gage de la lumière sans fin :
iam nos iubar præfúlgidum;Déjà sa splendeur nous appelle
ad ius vocat cæléstium.;Au rang des citoyens des cieux.
;
Te, Christe, solum quærimus;Te voir en ta divinité,
vidére, sicut es Deus,;Ô Christ, est notre seul désir :
ut perpes hæc sit vísio;Que cette vision éternelle
perénne laudis cánticum. Amen.;Soit pour toujours chant de louange. Amen.
