Hymnus;Hymne
Nunc, Sancte, nobis, Spíritus,;Esprit très Saint, daigne en cette heure,
unum Patri cum Fílio,;uni au Père, uni au Fils,
dignáre promptus íngeri;descendre toi-même sur nous
nostro refúsus péctori.;et te répandre dans nos âmes.
;
Os, lingua, mens, sensus, vigor;Que notre cœur et notre bouche,
confessionem pérsonent,;que tout en nous dise la foi !
flamméscat igne cáritas,;"Embrase nous de charité ;"
accéndat ardor próximos.;que ce feu brûle aussi nos proches !
;
Per te sciámus da Patrem,;Fais nous connaître Dieu le Père,
noscámus atque Fílium,;fais nous apprendre aussi le Fils
te utriúsque Spíritum;et croire en tout temps que tu es
credámus omni témpore. Amen.;l’unique Esprit de l’un et l’autre.
