Hymnus;Hymne
O castitátis sígnifer ;O modèle des vierges saintes
et fortitúdo mártyrum, ;ferme assurance des martyrs
utrísque reddens præmia, ;toi qui les couronnes ensemble
audi benígnus súpplices.;sois favorable à nos prières

Hæc virgo magni péctoris, ;Notre chant exalte aujourd'hui
beáta sorte dúplici ;une vierge et son grand courage
bináque palma nóbilis, ;à double titre bienheureuse
hic tóllitur præcóniis.;ennoblie d'une double palme

Hæc te fatéri pértinax, ;Opiniâtre à te confesser
tortóris acre brácchium ;vaillamment elle arma contre elle
armávit in se strénue ;le bras acharné du bourreau
tibíque fudit spíritum.;et pour toi répandit sa vie

Sic sæviéntis vúlnera ;Ainsi, nous apprenant à vaincre
et blandiéntis víncere ;les coups portés par un barbare
mundi docens illécebram, ;et les séductions de ce monde
fidem docet nos íntegram.;elle nous apprend la foi pure

Huius favóre débita ;Veuille nous remettre nos dettes
nobis remíttas ómnia, ;par la faveur de cette sainte
foménta tollens críminum ;en ôtant ce qui fait pêcher
tuámque subdens grátiam.;et en multipliant tes grâces

Iesu, tibi sit glória, ;Toute gloire à toi, ô Jésus
qui natus es de Vírgine, ;toi que la Vierge a enfanté
cum Patre et almo Spíritu, ;même gloire au Père, à l'Esprit
in sempitérna sæcula. Amen.;à travers les siècles sans fin.
