Hymnus;Hymne

O nimis felix meritíque celsi, ;BIenheureux entre tous, sublime par tes mérites,
nésciens labem nívei pudóris, ; ta pureté de neige ignore toute tache,
præpotens martyr eremíque cultor, ; très puissant martyr, habitant du désert,
máxime vatum.; le plus grand des prophètes!

Nunc potens nostri méritis opímis ;L'abondance de tes mérites 
péctoris duros lápides repélle, ;te donne désormais sur nous un grand pouvoir:
ásperum planans iter, et refléxos ; enlève de nos coeurs les dures pierres, aplanis les chemins raboteux, 
dírige calles,;redresse les sentiers tortueux,

Ut pius mundi sator et redémptor, ;Pour que le doux Créateur et Rédempteur du monde, 
méntibus pulsa mácula polítis, ;après avoir purifié nos âmes de leurs souillures, 
rite dignétur véniens sacrátos ;daigne venir y poser
pónere gressus.; l'empreinte sacrée de ses pas.

Láudibus cives célebrant supérni ;Dieu à la fois simple et trine,
"te, Deus simplex paritérque trine; ";" les citoyens des cieux te célèbrent de leurs louanges ; "
súpplices ac nos véniam precámur: ;et nous, prosternés, nous implorons ton pardon :
parce redémptis. Amen.; épargne ceux que tu as rachetés.
