Hymnus;Hymne
Optátus votis ómnium ;Nous l'appelions de tous nos voeux,
sacrátus illúxit dies, ;ce jour rayonnant de lumière,
quo Christus, mundi spes, Deus, ;où le Christ, Dieu, espoir du monde,
conscéndit cælos árduos.;s'élève jusqu'au sommet des ceux.
;
Magni triúmphum proelii, ;Comme trophée du grand comabt
mundi perémpto príncipe, ;où il terrassa le prince de ce monde,
Patris præséntans vúltibus ;il présente aux regards du Père
victrícis carnis glóriam,;la goire de son corps victorieux
;
In nube fertur lúcida ;Porté par la nuée lumineuse
et spem facit credéntibus, ;"il devient l'espoir des croyants;"
iam paradísum réserans ;il ouvre enfin le paradis
quem protoplásti cláuserant.;fermé par nos premies parents.
;
O grande cunctis gáudium, ;Quelle immense joie pour tous :
quod partus nostræ Vírginis, ;le Fils que la Vierge enfanta,
post sputa, flagra, post crucem ;après les crachats, les fouets, la croix,
patérnæ sedi iúngitur.;monte s'asseoir auprès du Père.
;
Agámus ergo grátias ;Louange donc et gratitude
nostræ salútis víndici, ;"au vainqueur qui nous sauve tous ;"
nostrum quod corpus véxerit ;notre corps fut porté bien haut
sublíme ad cæli régiam.;jusqu'au palais du roi du ciel.
;
Sit nobis cum cæléstibus ;Avec les habitants des cieux,
commúne manens gáudium: ;exultons d'une même joie :
illis, quod semet óbtulit, ;il va se montrer à eux,
nobis, quod se non ábstulit.;il ne s'éloigne pas de nous.
;
Nunc, Christe, scandens æthera ;Maintenant, Christ, en montant au ciel,
ad te cor nostrum súbleva, ;élève jusqu'à toi notre coeur,
tuum Patrísque Spíritum ;et envoie-nous d'en haut
emíttens nobis cælitus. Amen.;l'Esprit qui procède du Père et de Toi. Amen.
