Hymnus;Hymne
;
1. Pange lingua gloriósi corpóris mystérium, ;Chante, ô ma langue, le mystère de ce corps très glorieux
Sanguinísque pretiósi, quem in mundi prétium ;Et de ce sang si précieux que le Roi de nations
Fructus ventris generósi, Rex effùdit géntium. ;Issu d'une noble lignée versa pour le prix de ce monde.
;
2. Nobis datus, nobis natus ex intácta Vírgine ;Fils d'une mère toujours vierge né pour nous, à nous donné,
Et in mundo conversátus, sparso verbi sémine, ;Et dans ce monde ayant vécu, verbe en semence semé,
Sui moras incolátus miro clausit órdine. ;Il conclut son temps d'ici-bas par une action incomparable :
;
3. In suprémae nocte coenæ recùmbens cum frátribus, ;La nuit de la dernière Cène, à table avec ses amis,
Observáta lege plene cibis in legálibus, ;Ayant pleinement observé la Pâque selon la loi,
Cibum turbæ duodénæ se dat suis mánibus. ;De ses propres mains il s'offrit en nourriture aux douze Apôtres.
;
4. Verbum caro, panem verum verbo carnem éfficit: ;"Le Verbe fait chair, par son verbe, fait de sa chair le vrai pain;"
Fitque sanguis Christi merum, Et si sensus déficit, ;"Le sang du Christ devient boisson; Nos sens étant limités,"
Ad firmándum cor sincérum sola fides sùfficit. ;"C'est la foi seule qui suffit pour affermir les c&oelig;urs sincères."
;
5. Tantum ergo Sacraméntum venerémur cérnui: ;Il est si grand, ce sacrement ! adorons-le, prosternés.
Et antíquum documéntum novo cedat rítui: ;Que s'effacent les anciens rites devant le culte nouveau !
Præstet fides supplémentum sénsuum deféctui. ;Que la foi vienne suppléer aux faiblesses de nos sens !
;
6. Genitóri, Genitóque laus et iubilatio, ;Au Père et au Fils qu'il engendre, louange et joie débordante,
Salus, honor, virtus quoque sit et benedíctio:;Salut, honneur, toute-puissance et toujours bénédiction !
Procédénti ab utróque compar sit laudátio. Amen. ;A l'Esprit qui des deux procède soit rendue même louange. Amen.
