Hymnus;Hymne
Pange, lingua, gloriósi ;Chante, ô ma langue, le mystère
córporis mystérium, ;De ce corps très glorieux
sanguinísque pretiósi, ;Et de ce sang si précieux
quem in mundi prétium ;Que le Roi de nations
fructus ventris generósi ;Issu d'une noble lignée
Rex effúdit géntium.;Versa pour le prix de ce monde

Nobis datus, nobis natus ;Fils d'une mère toujours vierge
ex intácta Vírgine, ;Né pour nous, à nous donné,
et in mundo conversátus, ;Et dans ce monde ayant vécu,
sparso verbi sémine, ;Verbe en semence semé,
sui moras incolátus ;Il conclut son temps d'ici-bas
miro clausit órdine.;Par une action incomparable :

In suprémæ nocte cenæ ;La nuit de la dernière Cène,
recúmbens cum frátribus, ;A table avec ses amis,
observáta lege plene ;Ayant pleinement observé
cibis in legálibus, ;La Pâque selon la loi,
cibum turbæ duodénæ ;De ses propres mains il s'offrit
se dat suis mánibus.;En nourriture aux douze Apôtres.

Verbum caro panem verum ;Le Verbe fait chair, par son verbe,
verbo carnem éfficit, ;"Fait de sa chair le vrai pain;"
fitque sanguis Christi merum, ;"Le sang du Christ devient boisson;"
et, si sensus déficit, ;Nos sens étant limités,
ad firmándum cor sincérum ;C'est la foi seule qui suffit
sola fides súfficit.;pour affermir les coeurs sincères.

Tantum ergo sacraméntum ;Il est si grand, ce sacrement !
venerémur cérnui, ;Adorons-le, prosternés.
et antíquum documéntum ;Que s’effacent les anciens rites
"novo cedat rítui; ";Devant le culte nouveau !
præstet fides suppleméntum ;Que la foi vienne suppléer
sénsuum deféctui.;Aux faiblesses de nos sens !

Genitóri Genitóque ;Au Père et au Fils qu’il engendre
laus et iubilátio, ;Louange et joie débordante,
salus, honor, virtus quoque ;Salut, honneur, toute-puissance
"sit et benedíctio; ";Et toujours bénédiction !
procedénti ab utróque ;A l’Esprit qui des deux procède
compar sit laudátio. Amen.;soit rendue même louange. Amen.
