Hymnus;Hymne

Per crucem, Christe, quæsumus, ;Par ta croix, ô Christ, nous t'en prions
ad vitæ transfer præmium ;conduis à la récompense de la vie
quos ligni fixus stípite ;ceux que tu as daigné racheter 
dignátus es redímere.;quand on te cloua sur le bois.

Tuæ legis artículus ;Le moindre article de ta loi
"vetus cassat chirógraphum; ";"annule l'ancienne dette;"
antíqua perit sérvitus, ;l'antique servitude disparaît,
vera libértas rédditur.;la vraie liberté renaît.

Patri, tibi, Paráclito ;Gloire à toi, Jésus, 
sit æqua, Iesu, glória, ;au Père, au Paraclet.
qui nos crucis victória ;Tu nous fais jouir à jamais 
concédis usque pérfrui. Amen.;de la victoire de la croix
