Hymnus;Hymne

Petrus beátus catenárum láqueos;Sur ton ordre, Seigneur, Pierre le bienheureux,
"Christo iubénte rupit mirabíliter;"; sait merveilleusement briser toutes les chaînes.
custos ovílis et doctor Ecclésiæ,;" Gardien de ton bercail, il enseigne l'Église;"
pastórque gregis, conservátor óvium; berger de ton troupeau, il sauve les brebis
arcet lupórum truculéntam rábiem.; en écartant les loups et leur rage féroce.
;
Quodcúmque vinclis super terram strínxerit,;Tout ce que sur la terre il aura pu lier
erit in astris religátum fórtiter,;" se trouvera lié fermement dans le ciel;"
et quod resólvit in terris arbítrio,; tout ce qui, par sa voix, sur terre est délié
"erit solútum super cæli rádium;";" restera délié dans les hauteurs du ciel;"
in fine mundi iudex erit sæculi.; lors de la fin du monde, il jugera les hommes.
;
Glória Patri per imménsa sæcula,;Gloire au Père à jamais dans l'infini des siècles!
sit tibi, Nate, decus et impérium,; A toi, Fils éternel, louange et tout pou­voir.
"honor, potéstas Sanctóque Spirítui;"; A l'Esprit Paraclet l'hon­neur et la puissance,
sit Trinitáti salus indivídua; et à la Trinité, sa vie indivisible,
per infiníta sæculórum sæcula. Amen.; pour les siècles sans fin, pour les siècles des siècles !
