Hymnus;Hymne
Præclára custos vírginum;Illustre gardienne des vierges,
Deíque mater ínnuba,;mère inépousée de Dieu,
cæléstis aulæ iánua,;porte du palais céleste,
"spes nostra, cæli gáudium;";notre espérance, joie du ciel.
;
Inter rubéta lílium,;Lys du milieu des épines,
colúmba formosíssima,;colombe toute belle,
e stirpe virga gérminans;tige qui, de ta racine,
"nostro medélam vúlneri;";"fais jaillir le remède à notre blessure ;"
;
Turris dracóni impérvia,;Tour inaccessible au dragon,
amíca stella náufragis,;étoile amie des naufragés
defénde nos a fráudibus;garde-nous de toute embûche,
tuáque luce dírige.;guide-nous par ta lumière.
;
Erróris umbras díscute,;Dissipe les ombres de l'erreur,
syrtes dolósas ámove,;écarte l'écueil dangereux,
fluctus tot inter, déviis;fraie au milieu des flots
tutam reclúde sémitam.;un chemin assuré aux égarés.
;
Quæ labe nostræ oríginis;Toi seule resplendis,
intácta splendes única,;épargnée par la tache originelle,
serpéntis artes æmuli;déjoue les ruses du serpent envieux,
elúde vindex ínclita.;auguste protectrice.
;
Patri sit et Paráclito;Gloire au Père, au Consolateur
tuóque Nato glória,;et à ton Fils
qui sanctitátis únicæ;qui t'ont accordé
te munerárunt grátia. Amen.;la grâce d'une sainteté unique. Amen.
