Hymnus;Hymne

Qua Christus hora sítiit ;C’est l'heure où le Christ eut soif,
crucem vel in qua súbiit, ;"l'heure où il monta sur la croix;"
quos præstat in hac psállere ;qu'il donne soif de la justice
ditet siti iustítiæ.; à ceux qui le chantent à cette heure.
;
Simul sit his esúries, ;Qu'ils ressentent aussi cette faim 
quam ipse de se sátiet, ;"que lui seul peut rassasier; "
crimen sit ut fastídium ;que le péché leur soit dégoût, 
virtúsque desidérium.;et la vertu tout leur désir.
;
Charísma Sancti Spíritus ;Qu'il répande le don du Saint-Esprit 
sic ínfluat psalléntibus, ;sur ceux qui chantent, 
ut carnis æstus frígeat ;pour tempérer l'ardeur de la chair 
et mentis algor férveat.;et réchauffer la froideur de l'âme.
;
Christum rogámus et Patrem, ;Implorons le Christ 
"Christi Patrísque Spíritum; ";et le Père et l'Esprit du Père 
unum potens per ómnia, ;et du Christ: ô Trinité, une et puissante, 
fove precántes, Trínitas. Amen.;daigne écouter ceux qui te prient.
