Hymnus;Hymne
;
Quicúmque Christum quæritis,;O vous tous qui cherchez le Christ,
óculos in altum tóllite:;Élevez vos yeux vers le ciel,
illic licébit vísere;Et vous pourrez y contempler
signum perénnis glóriæ.;le signe du Dieu éternel.
;
Hæc stella, quæ solis rotam;L'étoile au lumineux éclat,
vincit decóre ac lúmine,;Plus brillante que le soleil,
venísse terris núntiat;annonce que Dieu est venu
cum carne terréstri Deum.;Sur la terre, dans notre chair.
;
En, Pérsici ex orbis sinu,;Alors au fond de l'Orient,
sol unde sumit iánuam,;Depuis la porte du soleil,
cernunt períti intérpretes;Les Mages qui lisent le ciel,
regále vexíllum magi.;Découvrent l'étendard du Roi.
;
«Quis iste tantus - ínquiunt -;Quel est donc ce grand souverain,
regnátor astris ímperans,;Maître des astres, disent-ils,
quem sic tremunt cæléstia,;Devant qui s'émeuvent les cieux
cui lux et æthra insérviunt?;Et que sert la voûte étoilée?
;
Illústre quiddam cérnimus;"""Ce que nous avons découvert"
quod nésciat finem pati,;Jamais ne connaîtra de fin:
sublíme, celsum, intérminum,;Mystère sublime et profond,
antíquius cælo et chao.;Plus ancien que tout le créé.
;
Hic ille rex est géntium;"""Voici le Roi des nations,"
populíque rex Iudáici,;Voici le Roi du Peuple Juif,
promíssus Abrahæ patri;Promis jadis à Abraham
eiúsque in ævum sémini».;Et à sa race pour toujours.
;
Iesu, tibi sit glória,;A toi soit la gloire, ô Jésus
qui te revélas géntibus,;"Qui te révèles aux païens;"
cum Patre et almo Spíritu,;Même gloire au Père, à l'Esprit,
in sempitérna sæcula. Amen.;A travers les siècles sans fin ! Amen.
