Hymnus;Hymne
Rerum, Deus, tenax vigor,;Dieu fort, soutien de l’univers,
immótus in te pérmanens,;qui est en toi sans changement,
lucis diúrnae témpora;tu fixes dans leur succession
succéssibus detérminans,;les temps que le soleil mesure.

Largíre clarum véspere,;Donne nous un soir lumineux
quo vita numquam décidat,;où la vie ne décline pas,
sed praémium mortis sacrae;où, pour le fruit de la Sainte Mort,
perénnis instet glória.;resplendira toujours la gloire.

Praesta, Pater piíssime,;Exauce-nous, Père très bon,
Patríque compar Unice,;et toi, le Fils égal au Père,
cum Spíritu Paráclito;avec l’Esprit consolateur,
regnans per omne saéculum. Amen.;régnant pour les siècles des siècles.
