Hymnus;Hymne
(Pro pluribus pastoribus:);(Pour plusieurs pasteurs)
Sacráta nobis gáudia ;Ce jour nous ramène
dies redúxit ánnua, ;Les saintes joies de cet anniversaire
laudántur in qua débito ;où nous célébrons les pasteurs du bercail
cultu duces ovílium.;par les louanges qu'ils méritent

En pro gregis custódia ;Pour la sauvegarde du troupeau
nullos labóres néglegunt, ;ils ne reculent devant aucun labeur
tutántur illum, sánius ;ils le gardent et le nourissent
impertiéntes pábulum.;de la saine doctrine

Arcent lupos e fínibus, ;Ils chassent les loups de leur contrée
procul latrónes éxigunt, ;repoussent au loin les brigands
replent oves pinguédine, ;nourissent grandement les brebis
ovíle numquam déserunt.;et jamais n'abandonnent le bétail

Tot nunc potíti gáudiis, ;Comblés maintenant de tant de joies
gregum duces sanctíssimi, ;très saints bergers des troupeaux
nobis rogáte grátiam ;demandez grâce pour nous
apud tribúnal iúdicis.;au tribunal des juges

Ætérne, Christe, póntifex, ;Gloire à toi, 
tibi sit æqua glória ;Christ, pontife éternel
cum Patre et almo Spíritu ;avec le Père et l'Esprit bienfaisant
in sempitérna sæcula. Amen.;pour les siècles éternels.
