Hymnus;Hymne
Sanctórum méritis ínclita gáudia ;Ensemble célébrons les mérites des saints,
"pangámus, sócii, géstaque fórtia; ";leur bonheur dans le ciel, leur geste de vaillance,
nam gliscit ánimus prómere cántibus ;car notre âme se plaît à dire en ses cantiques
victórum genus óptimum.;l'excellence de ces vainqueurs.

(Pro sanctis viris:);
Hi sunt quos rétinens mundus inhórruit, ;"Le monde les tenait, mais ils l'ont fait trembler;"
ipsum nam stérili flore peráridum ;pour ce monde stérile, et dont les fleurs se fanent,
sprevére pénitus teque secúti sunt, ;ils n'ont eu que mépris: ils t'ont suivi, ô Christ,
rex, Christe, bone cælitum.;toi le bon roi des bienheureux.

(Pro sanctis mulieribus:);
Hæ sunt, quas rétinens mundus inhórruit, ;
ipsum nam stérili flore peráridum ;
sprevére pénitus teque secútæ sunt, ;
rex, Christe, bone cælitum.;

"Hi (Hæ) pro te fúrias sævaque sústinent; ";Ils supportent pour toi fureurs et cruautés
non murmur résonat, non querimónia, ;sans laisser échapper un murmure, une plainte,
sed corde tácito mens bene cónscia ;le coeur silencieux et l'âme résolue,
consérvat patiéntiam.;gardant jusqu'au bout patience.

Quæ vox, quæ póterit lingua retéxere ;Quelle voix, quelle langue aura pouvoir de dire
quæ tu martyribus múnera præparas? ;les dons qu'à ces martyrs tu prépares toi-même?
Rubri nam flúido sánguine láureis ;Rouges du sang qui coule, ils reçoivent la gloire
ditántur bene fúlgidis.;de tes lauriers étincelants.

Te, trina Déitas únaque, póscimus, ;Trinité, un seul Dieu, c'est toi que nous prions
ut culpas ábluas, nóxia súbtrahas, ;de laver les péchés, d'effacer toute faute:
des pacem fámulis, nos quoque glóriam ;donne à tes serviteurs la paix, accorde-nous
per cuncta tibi sæcula. Amen.;de te glorifier pour les siècles.
