Hymnus;Hymne
Sol ecce surgit ígneus:;Vois surgir le soleil de feu :
piget, pudéscit, pænitet,;Honte, repentir, contrition !
nec teste quisquam lúmine;Nul ne peut pécher hardiment
peccáre constánter potest.;Quand la lumière en est témoin.
;
Tandem facéssat cæcitas,;Que cesse enfin l’aveuglement
quæ nosmet in præceps diu;Qui nous a longtemps dévoyés,
lapsos sinístris gréssibus;En faisant trébucher nos pas
erróre traxit dévio.;Jusqu’à la chute dans l’erreur.
;
Hæc lux serénum cónferat;En nous prenant dans sa clarté,
"purósque nos præstet sibi;";"Que ce beau jour nous rende pur ;"
nihil loquámur súbdolum,;Point d’artifice en nos discours,
volvámus obscúrum nihil.;N’agitons en nous rien d’obscur.
;
Sic tota decúrrat dies,;Que tout le jour s’écoule ainsi,
ne lingua mendax, ne manus;"Sans propos menteurs ; que nos mains"
oculíve peccent lúbrici,;Et nos yeux se gardent du mal,
ne noxa corpus ínquinet.;Sans faute qui souille nos corps.
;
Speculátor astat désuper,;Dieu nous observe de là-haut,
qui nos diébus ómnibus;"Il nous regarde chaque jour ;"
actúsque nostros próspicit;Il voit devant lui nos actions
a luce prima in vésperum.;Depuis l’aurore jusqu’au soir.
;
Deo Patri sit glória;Au Père gloire soit rendue,
eiúsque soli Fílio;Et gloire à son unique Fils,
cum Spíritu Paráclito,;Avec l’Esprit Consolateur,
in sempitérna sæcula. Amen.;A travers les siècles sans fin.
