Hymnus;Hymne
Sol, ecce, lentus óccidens;Voici que le soleil se couche lentement,
montes et arva et æquora;qu'il abandonne avec tristesse les monts,
mæstus relínquit, ínnovat; les labours et les mers,
sed lucis omen crástinæ,;mais renouvelle le présage de la lumière de demain.
;
Mirántibus mortálibus;Pour l'émerveillement des hommes,
sic te, Creátor próvide,;Créateur, dans ta Providence,
leges vicésque témporum;tu as ainsi posé les lois qui font alterner
umbris dedísse et lúmini.;dans le temps les ombres et la lumière.
;
Ac dum, tenébris æthera;Et au moment où le silence
siléntio preméntibus,;des ténèbres oppresse le ciel,
vigor labórum déficit,;quand les forces nous manquent pour travailler,
quies cupíta quæritur,;quand nous cherchons un repos désiré
;
Spe nos fidéque dívites;Riches alors d'espérance et de foi,
tui beámur lúmine;nous sommes comblés par la lumière de ton Verbe,
Verbi, quod est a sæculis;qui est depuisles siècles,
splendor patérnæ glóriæ.;éclat de la gloire du Père.
;
Est ille sol qui nésciat;Il est le soleil qui ne connaît
"ortum vel umquam vésperum;";"jamais le lever, ni de soir ;"
quo terra gestit cóntegi,;"la terre désire être vêtue de sa lumière ;"
quo cæli in ævum iúbilant.;les cieux tiennent de lui leur éternelle joie.
;
Hac nos seréna pérpetim;Et donne-nous de jouir pour toujours
da luce tandem pérfrui,;de cette lumière sereine :
cum Nato et almo Spíritu;à toi, au Fils, à l'Esprit Saint,
tibi novántes cántica. Amen.;nous dédirons des chants nouveaux.
