Hymnus;Hymne
Te lucis ante términum, ;Avant que le jour ne s’éteigne,
rerum creátor, póscimus, ;nous te prions, Créateur de toute chose,
ut sólita cleméntia ;dans ta bonté de toujours,
sis præsul ad custódiam.;veille sur nous, garde-nous.
;
Procul recédant sómnia,;Eloigne les songes
"Et nóctium phantásmata ;";"Et les fantômes des nuits ;"
Hostémque nostrum cómprime,;Enchaîne notre ennemi,
Ne polluántur córpora.;Pour que nos corps restent sans tache.
;
Præsta, Pater omnípotens, ;Exauce-nous, Père tout-puissant,
per Iesum Christum Dóminum, ;par Jésus-Christ le Seigneur,
qui tecum in perpétuum ;qui avec toi et le  Saint-Esprit
regnat cum Sancto Spíritu. Amen.;règne éternellement. Amen.
