Hymnus;Hymne
;
Te, Ioseph, célebrent ágmina cælitum,;"Que les ch&oelig;urs célestes célèbrent ta gloire, ô Joseph !"
te cuncti résonent christíanum chori,;Que les chants de tous les Chrétiens fassent résonner tes louanges !
qui, clarus méritis, iunctus es ínclitæ;Glorieux déjà par tes mérites, tu es uni
"  casto f&oelig;dere Vírgini.";par une chaste alliance à l’auguste Vierge.
;
Almo cum túmidam gérmine cóniugem;Lorsque, en proie au doute et à l’anxiété,
admírans, dúbio tángeris ánxius,;tu t’étonnes de l’état où se trouve ton épouse,
afflátu súperi Fláminis ángelus;un Ange vient t’apprendre que l’enfant qu’elle a conçu,
  concéptum púerum docet.;l’a été par l’opération de l’Esprit-Saint.
;
Tu natum Dóminum stringis, ad éxteras;"Le Seigneur est né, tu le presses dans tes bras ;"
"Ægýpti prófugum tu séqueris plagas;";"tu fuis avec lui vers les plages lointaines d’Égypte ;"
amíssum Sólymis quæris et ínvenis,;tu le cherches à Jérusalem où tu l’as perdu, et tu le retrouves :
  miscens gáudia flétibus.;ainsi tes joies sont mêlées de larmes.
;
Eléctos réliquos mors pia cónsecrat;D’autres sont glorifiés après une sainte mort,
"palmámque eméritos glória súscipit;";"eux qui ont mérité là palme sont reçus au sein de la gloire ;"
tu vivens, súperis par, frúeris Deo,;mais toi, par une admirable destinée, égal aux Saints, plus heureux même,
  mira sorte beátior.;tu jouis dès cette vie de la présence de Dieu.
;
"Nobis, summa Trias, parce precántibus;";"Trinité souveraine, exaucez nos prières, donnez-nous le pardon ;"
da Ioseph méritis sídera scándere,;que les mérites de Joseph nous aident à monter dans les cieux,
ut tandem líceat nos tibi pérpetim;pour qu’il nous soit enfin donné de chanter à jamais
  gratum prómere cánticum. Amen.;le cantique de la reconnaissance et de la félicité. Amen.
