Hymnus;Hymnus
Tellúris ingens cónditor,;Grand architecte de la terre,
mundi solum qui éruens,;en arrachant le monde
pulsis aquæ moléstiis,;aux masses d'eau qui l'oppressaient,
terram dedísti immóbilem,;tu a rendu stable la terre.

Ut germen aptum próferens,;Pour qu'en produisant chaque germe
fulvis decóra flóribus,;elle se pare de l'éclat des fleurs,
fecúnda fructu sísteret;elle porte un fruit abondant
pastúmque gratum rédderet:;et procure une agréable nourriture.

Mentis perústæ vúlnera;Que la fraîcheur de ta grâce
munda viróre grátiæ,;apaise les brûlures de notre âme blessée,
ut facta fletu díluat;afin qu'elle efface dans les larmes le mal accompli
motúsque pravos átterat,;et brise tout mouvement retors.

Iussis tuis obtémperet,;Qu'elle obéisse à tes ordres
nullis malis appróximet,;"et n'approche d'aucun mal ;"
bonis repléri gáudeat;qu'elle se réjouisse d'être comblée de biens
et mortis actum nésciat.;et ignore les actes de mort.

Præsta, Pater piíssime,;Exauce-nous Père très bon,
Patríque compar Unice,;et toi aussi, Unique égal au Père,
cum Spíritu Paráclito;avec l'Esprit consolateur,
regnans per omne sæculum. Amen.;qui règne pour tous les siècles. Amen.
