Hymnus;Hymne
;
Ternis horárum términis;Déjà la grâce du Seigneur
volútis, dante Dómino,;"Trois fois nous a donné trois heures ;"
trinum perfécte et únicum;Avec amour nous chantons Dieu,
ipsum devóti psállimus.;Trinité, parfaite Unité.
;
Sacrum Dei mystérium;"Gardons en des c&oelig;urs purifiés"
puro tenéntes péctore,;Le mystère sacré de Dieu,
Petri magístri régula;Et puisque l'exemple de Pierre
signo salútis pródita,;Fut confirmé par un miracle,
;
Et nos psallámus spíritu,;Chantons, nous aussi, dans l'Esprit
hæréntes sic apóstolis,;En nous attachant aux Apôtres,
ut plantas adhuc débiles;Pour que, par la force du Christ,
Christi virtúte dírigant.;Ils rendent plus ferme nos pas.
;
Deo Patri sit glória;À Dieu le Père soit la gloire,
eiúsque soli Fílio;Et gloire à son Unique Fils,
cum Spíritu Paráclito,;Avec l'Esprit Consolateur,
in sempitérna sæcula. Amen.;À travers l'infini des siècles ! Amen.
