Hymnus;Hymne
Ut queant laxis resonáre fibris ;Pour que tes serviteurs puissent chanter à pleine voix
mira gestórum fámuli tuórum, ; les merveilles de ta vie, 
solve pollúti lábii reátum, ;efface le péché qui souille leurs lèvres,
sancte Ioánnes.; bienheureux Jean

Núntius cælo véniens suprémo, ;Un messager venu du haut du ciel 
te patri magnum fore nascitúrum, ;dévoile à ton père ta naissance,
nomen et vitæ sériem geréndæ ; ta grandeur future, ton nom, 
órdine promit.;et tout le déroulement de ta vie.

Ille promíssi dúbius supérni ;Mais lui, doutant des promesses célestes, 
"pérdidit promptæ módulos loquélæ; ";"perdit le libre usage de sa langue; "
sed reformásti génitus perémptæ ;par ta naissance, tu lui rendis la voix 
órgana vocis.;qu'il avait perdue.

Ventris obstrúso pósitus cubíli ;Enfermé dans le sein de ta mère,
"sénseras regem thálamo manéntem; ";" tu avais reconnu la présence du roi dans sa chambre nuptiale ; "
hinc parens nati méritis utérque ;aussi tes parents ontils tous deux, par les mérites de leur fils, 
ábdita pandit.;révélé des mystères cachés.

Láudibus cives célebrant supérni ;Dieu à la fois simple et trine, 
"te, Deus simplex paritérque trine; ";"les citoyens des cieux te célèbrent de leurs louanges ;"
súpplices ac nos véniam precámur: ; et nous, prosternés, nous implorons ton pardon : 
parce redémptis. Amen.;épargne ceux que tu as rachetés.
