Hymnus;Hymne
Veni, creátor Spíritus, ;Viens en nous, Esprit Créateur,
mentes tuórum vísita, ;"visite les âmes des tiens ;"
imple supérna grátia, ;emplis de la grâce d'en haut
quæ tu creásti, péctora.;les coeurs qui sont tes créatures.

Qui díceris Paráclitus, ;Tois qu'on appelle Conseiller,
donum Dei altíssimi, ;Don du Seigneur de  Majesté,
fons vivus, ignis, cáritas ;Source vive, Feu, Charité,
et spiritális únctio.;toi qui es onction spirituelle,

Tu septifórmis múnere, ;Toi, le Donateur aux sept Dons,
dextræ Dei tu dígitus, ;Puissance de la main de Dieu,
tu rite promíssum Patris ;toi que le Père avait promis,
sermóne ditans gúttura.;qui fais jaillir notre louange,

Accénde lumen sénsibus, ;Mets ta lumière en nos esprits,
infúnde amórem córdibus, ;répands ton amour en nos coeurs,
infírma nostri córporis ;et que ta force sans déclin
virtúte firmans pérpeti.;tire nos corps de leur faiblesse.

Hostem repéllas lóngius ;"Repousse l'Adversaire au loin ;"
"pacémque dones prótinus; ";"sans tarder, donne-nous la paix ;"
ductóre sic te prævio ;ouvre evant nous le chemin :
vitémus omne nóxium.;que nous évitions toute faute !

Per te sciámus da Patrem ;Fais-nous connaître Dieu le Père,
noscámus atque Fílium, ;fais-nous apprendre aussi le Fils
te utriúsque Spíritum ;et croire en tout temps que tu es
credámus omni témpore. Amen.;l'unique Esprit de l'un et de l'autre. Amen.
