Hymnus;Hymne
;
Verbum salútis ómnium,;Le Verbe qui sauve le monde,
Patris ab ore pródiens,;Sortant de la bouche du Père,
Virgo beáta, súscipe;Marie, bénie entre toutes les femmes,
casto, María, víscere.;Que ton sein très pur le reçoive !
;
Te nunc illústrat cælitus;L'ombre féconde de l'Esprit
umbra fecúndi Spíritus,;Maintenant du ciel t'illumine :
gestes ut Christum Dóminum,;En toi tu portes le Seigneur,
æquálem Patri Fílium.;Le Christ, le Fils égal au Père.
;
Hæc est sacráti iánua;Voici la porte du saint temple
templi seráta iúgiter,;Qui demeure à jamais fermée,
soli suprémo Príncipi;Et n'ouvre son seuil bienheureux
pandens beáta límina.;Que pour le seul Prince d'en haut.
;
Olim promíssus vátibus,;Promis jadis par les prophètes,
natus ante lucíferum,;Né avant l'astre du matin,
quem Gábriel annúntiat,;Celui qu'annonce Gabriel,
terris descéndit Dóminus.;Le Seigneur descend sur la terre.
;
Læténtur simul ángeli,;Qu'au ciel exultent tous les anges,
omnes exsúltent pópuli:;Que les peuples se réjouissent :
excélsus venit húmilis;Le Trés-Haut est venu, très humble,
salváre quod períerat.;Sauver ce qui était perdu.
;
Sit, Christe, rex piíssime,;Ô Christ, ô Roi plein de bonté,
tibi Patríque glória;Gloire à toi et gloire à ton Père,
cum Spíritu Paráclito,;Avec l'Esprit Consolateur,
in sempitérna sæcula. Amen.;À travers les siècles sans fin. Amen.
