Hymnus;Hymne
Vexílla regis pródeunt, ;Les étendards du Roi s'avancent,
fulget crucis mystérium, ; Mystère éclatant de la croix!
quo carne carnis cónditor ; Au gibet fut pendue la chair
"suspénsus est patíbulo;"; Du Créateur de toute chair.

Quo, vulnerátus ínsuper ; C'est là qu'il reçut la blessure
mucróne diro lánceæ, ; D'un coup de lance très cruel,
ut nos laváret crímine, ; Et fit sourdre le sang et l'eau
manávit unda et sánguine.; Pour nous laver de nos péchés .

Arbor decóra et fúlgida, ; Arbre dont la beauté rayonne ,
ornáta regis púrpura, ; Paré de la pourpre du Roi,
elécta digno stípite ; D'un bois si beau qu'il fut choisi
tam sancta membra tángere!; Pour toucher ses membres très saints!

Beáta, cuius brácchiis ; Arbre bienheureux, à tes branches
"sæcli pepéndit prétium; "; La rançon du monde a pendu!
statéra facta est córporis ; Tu devins balance d'un corps
prædam tulítque tártari.; Et ravis leur proie aux enfers!

Salve, ara, salve, víctima, ; Salut, autel! Salut, victime
de passiónis glória, ; De la glorieuse passion!
qua Vita mortem pértulit; La vie qui supporta la mort
et morte vitam réddidit!; Par la mort a rendu la vie!

O crux, ave, spes única! ; O croix, salut, espoir unique!
hoc passiónis témpore ; En ces heures de la passion!
piis adáuge grátiam ; Augmente les grâces des saints,
reísque dele crímina.; remets les fautes des pécheurs.

Te, fons salútis, Trínitas, ; Trinité, source salutaire,
"colláudet omnis spíritus; "; Que te célèbre tout esprit!
quos per crucis mystérium ; Ceux que tu sauves par la croix,
salvas, fove per sæcula. Amen.; Protège-les à tout jamais.
