</b>Hymnus<b>;</b>Hymne<b>
V/. Glória in excélsis Deo;V/. Gloire à Dieu au plus haut des cieux
R/. et in terra pax homínibus bonae voluntátis.;R/. et sur terre paix aux hommes de bonne vonlonté.
Laudámus te,;Nous te louons,
benedícimus te,;nous te bénissons,
adorámus te,;nous t'adorons,
glorificámus te,;nous te glorifions,
grátias ágimus tibi propter magnam glóriam tuam,;nous te rendons grâce à cause de ta grande gloire.
Dómine Deus, Rex caeléstis, Deus Pater omnípotens.;Seigneur Dieu,Rois céleste, Dieu Père tout puissant,
Dómine Fili Unigénite, Iesu Christe,;Seigneur Fils Unique engendré, Jésus Christ,
Dómine Deus, Agnus Dei, Fílius Patris,;Seigneur Dieu, Agneau de Dieu, Fils du Père,
"qui tollis peccáta mundi, miserére nobis;";qui enlève les péchés du monde, aie pitié de nous,
qui tollis peccáta mundi, súscipe deprecatiónem nostram.;qui enlève les péchés du monde, accueille notre demande de pardon,
qui sedes ad déxteram Patris, miserére nobis.;qui es assis à la droite du Père, aie pitié de nous.
Quóniam tu solus Sanctus,;Car tu es le seul Saint,
tu solus Dóminus,;tu es le seul Seigneur,
tu solus Altíssimus, Iesu Christe,;tu es le seul Très Haut, Jésus Christ,
cum Sancto Spíritu: in glória Dei Patris. Amen.;dans la gloire de Dieu le Père. Amen.
