Hymnus;Hymne
Ætérna imágo Altíssimi,;1. Du Très-Haut Image éternelle,
Lumen, Deus, de Lúmine,;Dieu, Lumière de Lumière,
tibi, Redémptor, glória,;à toi, Rédempteur, soit la gloire,
honor, potéstas régia.;l’honneur, la puissance royale.
;
Tu solus ante sæcula;2. A toi seul, avant tous les siècles
"spes atque centrum témporum;";espoir et centre des temps,
tibi voléntes súbdimur,;à toi, par droit, le Père a confié
qui iure cunctis ímperas.;"le sceptre de toutes les nations;"
; 
Tu flos pudícæ Vírginis,;3. Toi, fleur d’une chaste Vierge,
nostræ caput propáginis,;toi, le chef de notre lignée,
lapis cadúcus vértice;toi, la pierre tombée du sommet
ac mole terras óccupans.;qui de ta masse emplis les terres.
; 
Diro tyránno súbdita,;4. Soumise à un cruel tyran,
damnáta stirps mortálium;la race des mortels condamnée par toi
per te refrégit víncula;a brisé ses liens
sibíque cælum víndicat.;et pour elle réclame le ciel.
;
Doctor, sacérdos, légifer,;5. Docteur, prêtre, législateur,
præfers notátum sánguine;tu portes, marqué de ton sang,
in veste «Princeps príncipum;sur ton habit : « Prince des princes,
regúmque rex altíssimus».;Roi Très-Haut de tous les rois ».
;
Patri, tibi, Paráclito sit,;A Toi Père, avec le Paraclet,
Christe, perpes glória,;Gloire perpétuelle, car le Christ,
qui nos redémptos sánguine;qui nous a racheté par son sang
ad regna cæli pértrahis. Amen.;pour donner accès au royaume des cieux. Amen.
