Hymnus;Hymne
Ætérne sol, qui lúmine ;Soleil éternel, qui remplis
creáta comples ómnia, ; de clarté toutes les créatures,
supréma lux et méntium, ;Iumière suprême des âmes, 
te corda nostra cóncinunt.;c'est toi que chantent nos coeurs.

Tuo fovénte Spíritu, ;Embrasés par ton Esprit, 
hic viva luminária ;de vivants luminaires ont resplendi ici-bas, 
fulsére, per quæ sæculis ;et ouvert aux siècles à venir
patent salútis sémitæ.; les chemins du salut.

Quod verba missa cælitus, ;Ce qu'enseignent les paroles venues du ciel 
natíva mens quod éxhibet, ;et la lumière de la raison naturelle, 
per hos minístros grátiæ ;par ces ministres de la grâce, a brillé 
novo nitóre cláruit.;d'un éclat nouveau.

Horum corónæ párticeps, ;Il a part à leur couronne 
doctrína honéstus lúcida, ;et tient sa gloire de sa claire doctrine,
hic vir beátus splénduit ; ce bienheureux dont nous chantons
quem prædicámus láudibus.; les louanges.

Ipso favénte, quæsumus, ;Par son aide, Dieu, nous t'en prions,
nobis, Deus, percúrrere ; donne-nous de suivre 
da veritátis trámitem, ;la voie de la vérité 
possímus ut te cónsequi.;afin de parvenir jusqu'a toi.

Præsta, Pater piíssime, ;Exauce-nous, Père très bon,
Patríque compar Unice, ; et toi aussi, Unique égal au Père,
cum Spíritu Paráclito ; avec l'Esprit Consolateur 
regnans per omne sæculum. Amen.;qui règne pour tous les siècles.
